Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Configure discrete manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-discrete-manufacturing-dyn365-supply-chain-mgmt/,33,316,5628,30.36%,224,34,34,,142.24972222222223,54.018881856540084,332,3.6,5,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,intermediate,cstorega,cstorega
Configure and work with inventory management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/,24,2274,22496,19.90%,1564,154,132,,983.9669444444445,52.33866725768321,310,4.9,10,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Work with warehouse management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/work-warehouse-management-dyn365-supply-chain-mgmt/,16,967,6366,22.86%,635,72,47,,238.35888888888888,29.732917532917533,286,4.714285714285714,7,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Extend Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/extend-commerce/,15,198,1044,19.64%,112,11,11,,25.3675,15.374242424242425,241,5,1,,,dynamics-365;dynamics-commerce,developer,advanced,cstorega,cstorega
Configure and use built-in master planning in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-master-planning-dyn365-supply-chain-mgmt/,14,1149,7374,14.80%,846,62,53,,275.8,29.03157894736842,219,4.6,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure process manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-process-manufacturing-dyn365-supply-chain-mgmt/,31,382,5514,32.26%,248,40,40,,80.59166666666667,25.31675392670157,218,4.75,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Author a guide in Dynamics 365 Guides,https://docs.microsoft.com/en-us/learn/modules/author-guides/,26,414,3676,19.33%,300,29,29,,32.604166666666664,9.45048309178744,211,5,3,,,dynamics-365;dynamics-guides;hololens,functional-consultant;solution-architect;business-user,intermediate,cstorega,cstorega
Configure and manage the order to cash process in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-manage-order-cash-dyn365-supply-chain-mgmt/,13,1054,7092,15.74%,798,62,58,,303.7661111111111,34.91564495530013,203,5,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure activity-based subcontracting and production flow costing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-subcontracting-flow-dyn365-supply-chain-mgmt/,23,206,2064,42.31%,104,22,22,,26.260555555555555,15.297411003236245,197,5,1,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,advanced,cstorega,cstorega
Configure and use intercompany trade in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-intercompany-trade-dyn365-supply-chain-mgmt/,12,1112,6398,17.22%,665,57,59,,192.88694444444445,20.89028279181709,195,5,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Use Azure Lighthouse with your managed service business,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-lighthouse/,13,350,2266,15.84%,202,16,17,,65.05027777777778,22.30295238095238,191,5,2,,,azure,administrator;technology-manager,beginner,socuff,IanKensey
Configure omnichannel prerequisites in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-omnichannel-prerequisites/,17,244,2332,28.42%,190,27,25,,66.85694444444445,32.880464480874316,188,4,1,,,dynamics-365;dynamics-commerce,functional-consultant,intermediate,cstorega,cstorega
Get started with product configuration in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-product-configuration-dyn365-supply-chain-mgmt/,15,382,2586,33.64%,214,36,35,,73.42444444444445,23.065270506108202,186,4.6,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Use Planning Optimization in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/planning-optimization/,19,552,10174,34.55%,386,66,63,,119.46277777777777,26.159732360097323,176,4.75,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Configure taxes in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-tax-module-dyn365-finance/,19,890,6032,17.16%,536,46,46,2,148.10361111111112,20.0140015015015,169,4,3,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Configure and use basic budgeting and budget control in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-use-basic-budgeting-budget-control-dyn365-finance/,16,702,6398,16.67%,592,49,43,,206.24416666666667,35.457449856733525,167,5,1,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
"Work with accounting distributions, invoice validations and settlements in Dynamics 365 Finance",https://docs.microsoft.com/en-us/learn/modules/accounting-distributions-invoice-validation-dyn365-finance/,15,467,3752,29.88%,332,49,49,,88.42416666666666,22.967316017316016,167,5,1,,,dynamics-365;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Cloud storage overview,https://docs.microsoft.com/en-us/learn/modules/cmu-cloud-storage/,15,831,9078,32.84%,679,111,119,2,96.82083333333334,14.032004830917874,163,4.785714285714286,14,,,azure,developer;student,beginner,chnoring,softchris
Configure warehouse management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-warehouse-management-dyn365-supply-chain-mgmt/,10,1322,8144,15.73%,996,78,71,1,300.4530555555556,27.355361659079414,162,4.888888888888889,9,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Create online presence in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/create-online-presence/,17,279,2928,27.03%,223,30,30,,74.81333333333333,32.29352517985612,161,,,,,dynamics-365;dynamics-commerce,functional-consultant;administrator,intermediate,cstorega,cstorega
Work with the costing sheet in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/work-costing-sheet-dyn365-supply-chain-mgmt/,11,747,8202,21.69%,503,54,55,,178.61583333333334,28.96472972972973,161,3.8,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Configure and use agreements in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-agreements-dyn365-supply-chain-mgmt/,14,825,4920,28.26%,559,78,62,,151.20166666666665,22.235539215686273,160,4.75,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Introduction to creating measures using DAX in Power BI,https://docs.microsoft.com/en-us/learn/modules/create-measures-dax-power-bi/,10,21675,152346,34.48%,16379,2813,2826,19,5243.097777777778,29.195904098994585,160,4.755102040816326,245,,,power-bi;power-platform,data-analyst,intermediate,robde,heyrob
Configure a retail store and POS in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-retail-store-pos/,15,576,3722,18.38%,372,34,31,,102.5725,21.443728222996516,155,5,1,,,dynamics-365;dynamics-commerce,functional-consultant;administrator,intermediate,cstorega,cstorega
Solve graph coloring problems by using Grover's search,https://docs.microsoft.com/en-us/learn/modules/solve-graph-coloring-problems-grovers-search/,9,483,2192,15.98%,339,27,24,1,50.25083333333333,12.510580912863071,154,4,2,,,qdk;azure-quantum,developer,intermediate,mamykhai,tcNickolas
Work with Asset leasing in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/work-asset-leasing-finance/,20,298,3224,38.00%,200,38,31,,62.915277777777774,25.335011185682326,149,4.666666666666667,3,,,dynamics-finance;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Azure Kubernetes Service Workshop,https://docs.microsoft.com/en-us/learn/modules/aks-workshop/,11,3829,19038,23.24%,1539,178,162,,634.1125,19.951101206082853,145,4.9,10,,,azure;azure-kubernetes-service;azure-container-registry,solution-architect;developer,advanced,chrvaw,sabbour
Identify and configure batch attributes for process manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/identify-configure-batch-attributes-process-manufacturing-dyn365-supply-chain-mgmt/,11,238,1578,57.14%,140,40,40,,29.669722222222223,14.959523809523809,145,4.5,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and perform periodic processes in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-periodic-processes-dyn365-finance/,9,645,4556,35.54%,486,86,95,,230.0275,42.995794392523365,142,4.9,10,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;business-user,intermediate,cstorega,cstorega
Perform accounts receivable daily procedures in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/accounts-receivable-daily-procedures-dyn365-finance/,14,432,3054,25.90%,283,36,38,,109.11666666666666,30.737089201877936,142,4,1,,,dynamics-365;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Use warehouse management for manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/manufacture-warehouse-mgmt-dyn365-supply-chain-mgmt/,10,314,1620,41.33%,150,31,30,,55.730555555555554,21.298301486199577,139,4.833333333333333,6,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Configure chart of accounts in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-chart-accounts-dyn365-finance/,21,2114,21217,16.81%,1446,121,114,,556.1688888888889,31.72065906210393,137,4.777777777777778,9,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Prepare to teach the module: Visualize report data,https://docs.microsoft.com/en-us/learn/modules/prepare-to-teach-module-visualize-report-data/,7,,,,,,,,,,136,,,,,power-bi;power-platform;azure-powerbi-embedded,data-analyst,intermediate,bgeoffro,wwlpublish
Reaprendendo a Aprender – O Novo Ensino Médio - Sessão 4,https://docs.microsoft.com/en-us/learn/modules/sessao-4-reaprendendo-a-aprender/,22,36,878,68.75%,32,11,11,,1.7741666666666667,5.913888888888889,135,5,5,,,office-teams,k-12-educator;school-leader,intermediate,abdewees,mec-sa
Train and evaluate deep learning models,https://docs.microsoft.com/en-us/learn/modules/train-evaluate-deep-learn-models/,9,2965,21782,40.96%,2314,471,508,1,649.5977777777778,26.550317892824705,134,4.689655172413793,29,,,vs-code,data-scientist,advanced,gmalc,wwlpublish
Reaprendendo a Aprender – Ensino Híbrido - Sessão 3,https://docs.microsoft.com/en-us/learn/modules/sessao-3-reaprendendo-a-aprender/,22,64,1136,69.57%,46,16,17,,3.721388888888889,6.977604166666667,133,5,8,,,office-teams,k-12-educator;school-leader,intermediate,abdewees,mec-sa
Create transactions in point of sale in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/create-transactions-pos/,15,212,1576,38.03%,142,27,26,,36.441944444444445,20.62751572327044,131,5,2,,,dynamics-365;dynamics-commerce,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure fixed assets management in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-fixed-assets-mgmt-dyn365-finance/,12,555,4774,21.70%,427,46,45,,183.73166666666665,39.94166666666667,130,4,2,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Create and process fixed kanbans in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/create-process-fixed-kanbans-dyn365-supply-chain-mgmt/,9,377,2346,25.96%,209,27,27,,62.17527777777778,19.843173758865248,130,3.5,2,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Get started with discrete manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-discrete-manufacturing-dyn365-supply-chain-mgmt/,13,489,3638,31.68%,323,51,49,,136.02138888888888,33.4478825136612,130,4,3,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Get started with resource management in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-project-resource-management/,12,187,1458,34.69%,99,17,15,,26.538333333333334,17.121505376344086,130,3,2,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance;dynamics-field-service,business-user;functional-consultant,intermediate,cstorega,cstorega
Manage fixed assets in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/manage-fixed-assets-dyn365-finance/,17,743,5766,16.88%,476,40,40,1,160.2575,25.987702702702702,130,3.5,2,,,dynamics-365;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Assistant studio tutorials for Dynamics 365 Sales Insights,https://docs.microsoft.com/en-us/learn/modules/sales-insights-lab/,12,285,960,24.56%,114,14,13,,14.684166666666666,6.204577464788732,129,,,,,dynamics-365;dynamics-sales;dynamics-sales-insights,business-user;functional-consultant,intermediate,dbeasley,DaveBeasley
Design a data model in Power BI ,https://docs.microsoft.com/en-us/learn/modules/design-model-power-bi/,11,23392,185222,30.20%,20625,3095,3084,26,7689.689722222222,39.72289137609413,128,4.754863813229572,257,,,power-bi;power-platform,data-analyst,intermediate,robde,heyrob
Use Power Automate with Business Central,https://docs.microsoft.com/en-us/learn/modules/use-power-automate/,13,384,1980,16.35%,208,17,16,,41.08416666666667,12.838802083333333,128,,,,,dynamics-365;dynamics-business-central,developer;functional-consultant;business-user,intermediate,kschimke,KevSch
Get started with project management in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/get-started-project-management/,12,517,3364,15.89%,302,24,21,,62.24805555555555,14.476291989664082,127,3,2,,,dynamics-365;dynamics-project-operations;dynamics-finance-operations;dynamics-finance,business-user;functional-consultant,intermediate,cstorega,cstorega
Introduction to NumPy for data science,https://docs.microsoft.com/en-us/learn/modules/numpy-data-science/,13,,,,,,,,,,127,,,,,azure;vs-code,developer;student;data-scientist,beginner,chnoring,sguthals
Transcend data analysis together with Power BI and Excel,https://docs.microsoft.com/en-us/learn/modules/modern-analytics-excel/,11,1008,6678,52.12%,615,160,172,,103.5886111111111,12.35649436713055,127,4.916666666666667,12,,,power-platform;power-bi,business-user;business-analyst,intermediate,robde,heyrob
Configure and work with quality control and quality management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-work-quality-control-dyn365-supply-chain-mgmt/,9,602,3134,38.36%,319,61,66,,104.49444444444444,20.898888888888887,126,4.833333333333333,6,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Deploying Resource Scheduling Optimization,https://docs.microsoft.com/en-us/learn/modules/deploy-resource-scheduling-optimization/,8,263,1922,48.89%,180,44,42,1,53.88111111111111,24.678371501272263,126,5,4,,,dynamics-365;dynamics-field-service,business-user;functional-consultant,intermediate,dbeasley,DaveBeasley
Prepare to teach the module: Analytics in Excel,https://docs.microsoft.com/en-us/learn/modules/analytics-excel/,8,13,30,0.00%,7,0,,,0.1686111111111111,1.6861111111111111,126,,,,,office-excel;power-bi,business-analyst,intermediate,bgeoffro,wwlpublish
Develop secure IoT Solutions for Azure Sphere with IoT Hub,https://docs.microsoft.com/en-us/learn/modules/develop-secure-iot-solutions-azure-sphere-iot-hub/,21,224,2186,50.00%,108,27,29,1,21.827222222222222,11.693154761904761,125,5,1,,,azure-iot-hub,ai-edge-engineer,intermediate,chnoring,leestott
Foundations of cloud computing for administrators,https://docs.microsoft.com/en-us/learn/modules/cmu-cloud-admin-overview/,12,1338,8836,16.43%,1112,91,85,9,236.51638888888888,21.27583708145927,125,4.615384615384615,13,,,azure,administrator;student,beginner,chnoring,softchris
Foundations of Serverless Computing for Developers,https://docs.microsoft.com/en-us/learn/modules/ms-learn-live-foundations-serverless-developers/,15,9,44,0.00%,9,0,,,1.2458333333333333,18.6875,125,,,,,azure-functions,developer,beginner,renrup,Krumelur
Implement high availability for SAP workloads in Azure,https://docs.microsoft.com/en-us/learn/modules/implement-high-availability-for-sap-workloads-azure/,21,145,1442,41.46%,83,17,17,,13.201944444444445,11.00162037037037,125,,,,,azure,administrator;solution-architect,advanced,eric,wwlpublish
Run an IoT Edge device in a restricted network and offline,https://docs.microsoft.com/en-us/learn/modules/run-iot-edge-device-restricted-network-offline/,9,172,760,26.47%,68,9,10,,9.669444444444444,6.746124031007752,125,,,,,azure-iot-edge,developer;administrator,advanced,abartolo,abartolo
Work with Microsoft Dataverse Web API,https://docs.microsoft.com/en-us/learn/modules/common-data-service-web-api/,10,1397,8430,30.00%,1124,168,163,,238.6063888888889,20.569516283524905,125,4.666666666666667,3,,,dynamics-365;power-platform,developer,advanced,dbeasley,DaveBeasley
Create and process expense reports in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/create-process-expense-reports/,15,466,3414,22.76%,294,33,33,,73.2286111111111,19.02041847041847,124,5,2,,,dynamics-365;dynamics-project-operations;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Manage store inventory in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/manage-store-inventory-commerce/,15,250,1694,31.65%,158,25,24,,36.95944444444444,17.74053333333333,124,5,1,,,dynamics-365;dynamics-commerce,functional-consultant;business-user,intermediate,cstorega,cstorega
Customize high-performance computing clusters deployed with Azure CycleCloud,https://docs.microsoft.com/en-us/learn/modules/customize-clusters-azure-cyclecloud/,8,214,1340,63.29%,158,50,53,,9.408333333333333,5.275700934579439,122,5,1,,,azure;azure-cyclecloud,solution-architect;developer;student,intermediate,anhoward,anhoward
Discover and analyze content in place using Advanced eDiscovery,https://docs.microsoft.com/en-us/learn/modules/advanced-ediscovery/,10,304,1356,18.52%,162,15,15,,30.706666666666667,12.121052631578948,122,5,1,,,m365;office-365,administrator,intermediate,beccarobins,beccarobins
"Clean, transform, and load data in Power BI",https://docs.microsoft.com/en-us/learn/modules/clean-data-power-bi/,10,23578,185003,38.43%,18667,3577,3625,8,6582.7975,33.7521662963596,121,4.816568047337278,507,,,power-bi;power-platform,data-analyst,intermediate,robde,heyrob
Dynamics 365 Guides for administrators,https://docs.microsoft.com/en-us/learn/modules/guides-administrator/,12,645,3266,25.13%,383,48,48,,53.58861111111111,9.985455486542444,121,4.666666666666667,6,,,dynamics-365;dynamics-guides;hololens,administrator;functional-consultant;solution-architect,intermediate,cstorega,cstorega
Get started with production control in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-production-control-dyn365-supply-chain-mgmt/,15,4066,41275,25.32%,3264,412,410,5,3281.5680555555555,97.23164609053498,121,4.756756756756757,37,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,beginner,cstorega,cstorega
Integrate Microsoft Dataverse Azure solutions,https://docs.microsoft.com/en-us/learn/modules/integrate-common-data-service-azure-solutions/,7,773,4324,45.30%,575,130,136,,133.30027777777778,20.72025043177893,121,4.333333333333333,6,,,dynamics-365;power-platform,developer,advanced,dbeasley,DaveBeasley
Build forms and optimize form performance in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/build-forms-optimize-finance-operations/,11,664,6062,45.28%,533,120,123,1,283.3569444444444,51.519444444444446,120,4.333333333333333,6,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,developer,intermediate,cstorega,cstorega
Develop secure IoT solutions for Azure Sphere with Azure IoT Central,https://docs.microsoft.com/en-us/learn/modules/develop-secure-iot-solutions-azure-sphere-iot-central/,21,231,2142,51.72%,117,30,31,1,15.596944444444444,8.137536231884058,120,5,1,,,azure-iot-central,ai-edge-engineer,intermediate,chnoring,leestott
Create sales documents in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/create-sales-documents-dynamics-365-business-central/,13,821,8102,34.19%,711,120,105,,249.92194444444445,36.93427750410509,119,4.857142857142857,7,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate,kschimke,KevSch
Implement common integration features in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/implement-common-integration-features-finance-ops/,12,835,10802,46.22%,663,153,154,,3881.7355555555555,558.523101518785,119,4.588235294117647,17,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;administrator,advanced,cstorega,cstorega
Set up work orders in Asset Management for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/setup-work-orders-asset-management/,18,124,1252,52.94%,68,18,16,,19.96611111111111,19.63879781420765,119,,,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Configure and work with order fulfillment in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-work-order-fulfillment/,12,210,1388,29.23%,130,19,19,,36.187222222222225,20.6784126984127,118,5,2,,,dynamics-365;dynamics-commerce,functional-consultant;business-user,intermediate,cstorega,cstorega
Create and manage work orders in Asset Management for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/manage-work-orders-asset-management/,17,242,1692,24.39%,164,20,18,,31.896944444444443,15.816666666666666,118,,,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Datacenter components,https://docs.microsoft.com/en-us/learn/modules/cmu-data-center-design/,9,478,3468,46.58%,322,75,81,,49.42722222222222,12.408507670850767,118,4.625,8,,,azure,developer;student,beginner,chnoring,softchris
Perform general ledger daily procedures in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/general-ledger-daily-procedures-dyn365-finance/,10,870,7866,35.91%,675,121,122,,195.58277777777778,27.03909370199693,118,4.857142857142857,7,,,dynamics-365;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Azure Kubernetes Services Governance with Azure Policy,https://docs.microsoft.com/en-us/learn/modules/aks-governance-azure-policy/,8,108,454,38.10%,42,8,10,,7.900555555555556,8.778395061728395,117,,,,,azure-kubernetes-service;azure-policy,administrator;auditor;devops-engineer;solution-architect,intermediate,aayodeji,mosabami
Configure and perform the procure-to-purchase process in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-perform-procure-purchase-dyn365-supply-chain-mgmt/,13,1216,8126,19.66%,955,93,84,,260.6458333333333,25.9349087893864,117,5,6,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
What is distributed programming?,https://docs.microsoft.com/en-us/learn/modules/cmu-distributed-programming-introduction/,15,1233,4574,13.64%,529,36,39,,84.6438888888889,8.244534632034632,117,5,1,,,azure,developer;student,beginner,chnoring,softchris
Work with commodity pricing and compliance in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/work-commodity-pricing-compliance-dyn365-supply-chain-mgmt/,8,236,1174,51.25%,160,41,42,,16.085,8.178813559322034,116,4.2,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Deploy Dynamics 365 Project Operations scenarios,https://docs.microsoft.com/en-us/learn/modules/deploy-project-operations/,10,148,806,37.78%,90,17,17,,12.98611111111111,10.52927927927928,115,5,1,,,dynamics-365;dynamics-project-operations,functional-consultant;administrator,intermediate,cstorega,cstorega
Get started with the Engineering Change Management Add-in for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-engineering-change-management/,15,174,1876,26.79%,112,15,12,,24.253888888888888,16.726819923371647,115,,,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Process purchase orders in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/process-purchase-orders-dyn365-supply-chain-mgmt/,10,600,3364,32.51%,406,66,64,,110.78583333333333,22.157166666666665,115,5,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
                تصميم التعلّم للقرن الحادي والعشرين،الدورة الثالثة:التواصل بمهارة,https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-3/,9,126,1744,75.86%,116,44,47,1,5.536388888888889,5.272751322751323,114,4.7272727272727275,11,,,office-word,k-12-educator;school-leader,beginner,abdewees,mec-sa
Perform Accounts payable daily procedures in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/accounts-payable-daily-procedures-dyn365-finance/,14,698,7158,31.62%,508,80,76,,194.16722222222222,33.477107279693485,114,4.666666666666667,3,,,dynamics-365;dynamics-finance;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Personalize Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/personalize-finance-operations/,17,982,12138,43.24%,833,179,170,,337.25666666666666,41.46598360655738,114,4.833333333333333,12,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;business-user,intermediate,cstorega,cstorega
Plan and implement legal entities in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/plan-implement-legal-entities-finance-operations/,17,1155,15074,40.29%,966,193,195,2,431.72805555555556,45.207126236183825,114,4.636363636363637,11,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,intermediate,cstorega,cstorega
Microsoft Power Platform Mobile management,https://docs.microsoft.com/en-us/learn/modules/power-platform-mobile-management/,11,813,5920,58.63%,559,163,169,1,137.6825,20.397407407407407,113,4.375,8,,,dynamics-365;power-apps;power-platform,administrator;business-user;functional-consultant,intermediate,dbeasley,DaveBeasley
Prepare for cloud adoption with a data-driven plan,https://docs.microsoft.com/en-us/learn/modules/cloud-adoption-framework-plan/,6,679,4032,79.55%,541,214,230,1,69.98805555555556,12.423915187376727,113,4.7272727272727275,11,,,azure,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,beginner,bblanch,BrianBlanchard
Connect IoT data to mixed reality with Azure Digital Twin and Unity,https://docs.microsoft.com/en-us/learn/modules/connect-iot-hololens-azure-digital-twins-unity/,13,678,4306,10.77%,393,21,22,1,82.0213888888889,14.603214638971316,112,4.6,5,,,azure;azure-cloud-services;azure-cognitive-services;azure-digital-twins;azure-iot;azure-iot-hub;azure-signalr-service;azure-event-grid;azure-event-hubs;azure-functions;hololens;windows;windows-mixed-reality,developer;business-owner;student;technology-manager,intermediate,jejacks,JBrentJ
Create an on-site event in Dynamics 365 Marketing,https://docs.microsoft.com/en-us/learn/modules/create-event-marketing/,13,448,3470,35.00%,361,63,49,1,95.14944444444444,25.600747384155454,112,4.666666666666667,3,,,dynamics-365;dynamics-marketing,business-user;functional-consultant,intermediate,kschimke,KevSch
마인크래프트: 교육용 에디션 - 코딩교육,https://docs.microsoft.com/en-us/learn/modules/minecraft-coding-lessons/,13,38,190,7.69%,26,1,1,,1.5486111111111112,4.890350877192983,112,,,,,minecraft,k-12-educator;school-leader,beginner,abdewees,mec-sa
