Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Set up job task lines in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/set-up-job-task-lines/,4,174,570,44.00%,100,22,20,,7.6525,5.277586206896552,20,5,1,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Simple cloud-based machine learning,https://docs.microsoft.com/en-us/learn/modules/simple-cloud-based-machine-learning/,4,,,,,,,,,,20,,,,,azure;vs-code,developer;student;data-scientist,beginner,chnoring,sguthals
Support data classification with private and hybrid clouds,https://docs.microsoft.com/en-us/learn/modules/support-hybrid-clouds/,7,88,338,50.00%,40,10,10,,0.8069444444444445,1.1003787878787878,20,,,,,azure;azure-stack-hub;azure-stack-edge,business-user,beginner,micrum,Adriamen
Troubleshoot transport issues,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-transport-issues/,6,56,224,84.62%,26,11,10,,0.7030555555555555,1.506547619047619,20,,,,,azure-active-directory;m365,administrator,intermediate,tfrink,wwlpublish
Understand Microsoft 365 encryption,https://docs.microsoft.com/en-us/learn/modules/audit-encryption/,6,1288,7684,71.10%,1039,369,383,1,137.63694444444445,12.843260756868844,20,,,,,m365,auditor;risk-practitioner;privacy-manager,beginner,beccarobins,beccarobins
Use Azure Object Anchors to detect an object in the physical world,https://docs.microsoft.com/en-us/learn/modules/azure-object-anchors-tutorials/,8,291,972,47.37%,77,18,15,1,14.821111111111112,6.132873563218391,20,,,,,windows;windows-mixed-reality;mrtk;hololens;azure,developer,beginner,sekerawa,Sean-Kerawala
What is Microsoft Graph?,https://docs.microsoft.com/en-us/learn/modules/msgraph-intro-overview/,6,1986,8100,29.75%,1512,224,128,,181.4886111111111,10.999309764309764,20,5,3,,,m365;ms-graph,developer,beginner,aycabas,aycabas
Work with Azure Repos and GitHub,https://docs.microsoft.com/en-us/learn/modules/work-azure-repos-github/,9,1286,11206,72.66%,1115,404,440,,184.85194444444446,17.329869791666667,20,4.71875,32,,,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,advanced,lumac,wwlpublish
Work with models and data in Django,https://docs.microsoft.com/en-us/learn/modules/django-models-data/,10,485,3994,40.99%,324,66,63,,81.7238888888889,20.346196403872753,20,4.833333333333333,6,,,azure;vs-code;azure-app-service,student;developer,intermediate,chnoring,GeekTrainer
Add calculated tables and columns to Power BI Desktop models,https://docs.microsoft.com/en-us/learn/modules/dax-power-bi-add-calculated-tables/,6,5093,23507,38.57%,3450,663,607,5,614.8988888888889,14.530891427071026,19,4.622222222222222,45,,,power-bi;power-platform,maker;data-analyst,intermediate,robde,heyrob
Broaden the reach of Power BI,https://docs.microsoft.com/en-us/learn/modules/power-bi-admin-reach/,12,586,3060,44.68%,282,63,62,,30.785833333333333,6.304266211604095,19,5,2,,,power-platform;power-bi,administrator,intermediate,robde,heyrob
Cluster scalability on AKS with cluster autoscaler,https://docs.microsoft.com/en-us/learn/modules/aks-cluster-autoscaling/,4,114,324,35.00%,40,7,8,,5.254166666666666,5.530701754385965,19,,,,,azure;azure-kubernetes-service,solution-architect;developer;devops-engineer,beginner,ludossan,khaosdoctor
Configure flow control in WinAutomation,https://docs.microsoft.com/en-us/learn/modules/flow-control/,4,98,310,57.69%,52,15,16,,0.6733333333333333,0.8244897959183674,19,,,,,power-platform;power-automate,maker;developer;functional-consultant,beginner,marleon,mariosleon
Create an Azure IoT Central application for the Altair emulator and Azure Sphere,https://docs.microsoft.com/en-us/learn/modules/altair-azure-sphere-create-iot-central-application/,7,84,424,66.67%,36,12,11,,1.1647222222222222,1.663888888888889,19,,,,,azure;azure-iot-central;azure-sphere;azure-app-service-static;azure-virtual-machines,developer;student,beginner,chnoring,gloveboxes
Create and apply a form processing model,https://docs.microsoft.com/en-us/learn/modules/syntex-form-processing/,6,192,760,42.00%,100,21,22,,11.341944444444444,7.088715277777778,19,4,2,,,m365,administrator;business-user,beginner,teleary,temanteleary
Create Azure resources using Azure Resource Manager templates,https://docs.microsoft.com/en-us/learn/modules/create-azure-resources-using-azure-resource-manager-templates/,8,371,3060,73.33%,301,110,119,,52.430277777777775,17.004414414414413,19,4,3,,,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,advanced,lumac,wwlpublish
Decide when to implement Direct Routing for Teams,https://docs.microsoft.com/en-us/learn/modules/m365-teams-decide-when-implement-direct-routing/,6,481,2372,47.26%,403,95,92,,23.679166666666667,5.919791666666667,19,4.666666666666667,12,,,office-teams,administrator,intermediate,teleary,temanteleary
