Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Configure virtual machine backups,https://docs.microsoft.com/en-us/learn/modules/configure-virtual-machine-backups/,12,4939,63118,74.71%,4601,1716,1834,2,982.8352777777778,23.961851550860082,36,4.7611940298507465,67,,,azure-backup;azure-virtual-machines,administrator,intermediate,cynthist,wwlpublish
Connect Security Information and Event Management solutions to Microsoft Defender for Cloud Apps,https://docs.microsoft.com/en-us/learn/modules/cloud-app-security-siem-integration/,7,168,626,47.37%,76,18,20,,10.791944444444445,7.708531746031746,36,,,,,m365-ems-cloud-app-security;defender-for-cloud-apps,administrator,advanced,beccarobins,beccarobins
Construct KQL statements for Microsoft Sentinel,https://docs.microsoft.com/en-us/learn/modules/construct-kusto-query-language-statements/,10,2447,20259,40.57%,2140,430,368,4,351.0061111111111,17.31938048245614,36,4.666666666666667,18,,,azure;azure-sentinel,security-operations-analyst,intermediate,bneeb,wwlpublish
Convert data types using casting and conversion techniques in C#,https://docs.microsoft.com/en-us/learn/modules/csharp-convert-cast/,9,2477,24085,61.42%,1979,605,646,1,593.2130555555556,28.843422474338194,36,4.833333333333333,48,,,dotnet,developer;student,beginner,wiwagn,BillWagner
Create a user interface with decentralized apps,https://docs.microsoft.com/en-us/learn/modules/blockchain-create-ui-decentralized-apps/,7,1352,6148,21.03%,785,82,86,1,122.6425,10.933952451708766,36,4.6,10,,,azure,developer;student,beginner,chnoring,DanMabee
Create items in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/create-items/,7,741,4292,25.63%,633,81,60,,61.18388888888889,9.921711711711712,36,5,5,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Create serverless logic with Azure Functions,https://docs.microsoft.com/en-us/learn/modules/create-serverless-logic-with-azure-functions/,6,9500,74207,24.02%,7889,941,1048,9,1696.7466666666667,21.555113275460513,36,4.481481481481482,81,551,379,azure;azure-functions;azure-portal,developer;solution-architect;student,beginner,glenga,ggailey777
Deep learning with Horovod for distributed training,https://docs.microsoft.com/en-us/learn/modules/deep-learning-with-horovod-distributed-training/,6,351,1862,61.54%,235,72,76,,19.223055555555554,6.590761904761905,36,4.8,5,,,azure-databricks,data-scientist,intermediate,b-dstrodtman,b-dstrod
Deploy child and extension resources by using Bicep,https://docs.microsoft.com/en-us/learn/modules/child-extension-bicep-templates/,9,906,6402,31.59%,769,121,128,,229.9777777777778,30.595713229859573,36,4.818181818181818,11,30,19,azure-resource-manager,devops-engineer;developer;administrator,intermediate,jodowns,johndowns
Design an MVVM viewmodel for Xamarin.Forms,https://docs.microsoft.com/en-us/learn/modules/design-a-mvvm-viewmodel-for-xamarin-forms/,6,526,2376,25.28%,357,45,40,,71.82305555555556,16.448027989821885,36,5,1,,,xamarin;dotnet;vs,developer,intermediate,adpatrid,patridge
