Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Introduction to Azure fundamentals,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-fundamentals/,8,"165,561","1,249,214",36.02%,"151,947","54,730","48,497",819,54347.48278,19.69575544,43,4.80019517,8198,,,azure,administrator;developer;solution-architect;student,beginner
Get started with AI on Azure,https://docs.microsoft.com/en-us/learn/modules/get-started-ai-fundamentals/,10,"41,243","713,421",63.99%,"38,314","24,518","25,719",48,8591.593889,12.49898488,34,4.63994317,4927,,,azure-bot-service;azure-cognitive-services;azure-machine-learning,ai-engineer;data-scientist;student,beginner
Describe core Azure architectural components,https://docs.microsoft.com/en-us/learn/modules/azure-architecture-fundamentals/,8,"73,413","672,621",57.56%,"62,951","36,237","38,083",554,36826.99028,30.09847597,34,4.774043776,4523,"30,728","24,134",azure;azure-resource-manager,administrator;developer;solution-architect;student,beginner
Discuss Azure fundamental concepts,https://docs.microsoft.com/en-us/learn/modules/fundamental-azure-concepts/,6,"88,917","654,162",62.91%,"72,195","45,418","45,578",582,25615.02944,17.2846786,24,4.82322419,5589,,,azure;azure-functions,administrator;developer;solution-architect;student,beginner
Explore Azure compute services,https://docs.microsoft.com/en-us/learn/modules/azure-compute-fundamentals/,9,"62,960","593,552",50.65%,"59,724","30,249","29,411",263,34180.79139,32.57381644,52,4.801886792,2756,,,azure;azure-app-service;azure-container-instances;azure-container-registry;azure-kubernetes-service;azure-virtual-machines,administrator;developer;solution-architect;student,beginner
Use automated machine learning in Azure Machine Learning,https://docs.microsoft.com/en-us/learn/modules/use-automated-machine-learning/,9,"30,820","413,168",72.55%,"27,976","20,296","22,136",462,5911.439167,11.50831765,45,4.666053922,1632,,,azure-machine-learning,ai-engineer;data-scientist,beginner
Explore Azure database and analytics services,https://docs.microsoft.com/en-us/learn/modules/azure-database-fundamentals/,10,"39,702","409,468",64.32%,"33,529","21,566","22,770",188,15345.73556,23.19137911,43,4.721577726,1724,"12,582","10,993",azure;azure-cosmos-db;azure-data-lake;azure-databricks;azure-hdinsight;azure-sql-database;azure-synapse-analytics,administrator;developer;solution-architect;student,beginner
Get started building with Power BI,https://docs.microsoft.com/en-us/learn/modules/get-started-with-power-bi/,6,"99,774","408,391",31.76%,"60,439","19,194","15,691",346,14365.50111,8.63882441,40,4.803314917,1810,,,power-platform;power-bi,business-user;business-analyst;functional-consultant,beginner
Create a Regression Model with Azure Machine Learning designer,https://docs.microsoft.com/en-us/learn/modules/create-regression-model-azure-machine-learning-designer/,10,"24,253","357,479",83.82%,"22,697","19,024","21,214",336,3548.506944,8.778724969,55,4.668441065,1315,,,azure-machine-learning,ai-engineer;data-scientist,beginner
Create a classification model with Azure Machine Learning designer,https://docs.microsoft.com/en-us/learn/modules/create-classification-model-azure-machine-learning-designer/,10,"22,443","337,765",86.55%,"21,397","18,520","20,790",308,2461.428056,6.580478694,60,4.702842377,1161,,,azure-machine-learning,ai-engineer;data-scientist,beginner
