Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Create bots with Power Virtual Agents,https://docs.microsoft.com/en-us/learn/paths/work-power-virtual-agents/,4,2460,28106,18.53%,1689,313,338,1727,28.859051490514904,1966,151,learn-bizapps.work-power-virtual-agents,maker;administrator,power-platform;power-virtual-agents,intermediate,dbeasley,DaveBeasley
Perform data engineering with Azure Synapse Apache Spark Pools,https://docs.microsoft.com/en-us/learn/paths/perform-data-engineering-with-azure-synapse-apache-spark-pools/,5,3435,49424,18.53%,2056,381,423,1727,31.030237748665698,1168,143,learn.wwl.perform-data-engineering-with-azure-synapse-apache-spark-pools,data-engineer,azure-synapse-analytics,intermediate,jamesh,wwlpublish
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the concepts of security, compliance, and identity",https://docs.microsoft.com/en-us/learn/paths/describe-concepts-of-security-compliance-identity/,2,23640,225587,18.48%,17326,3201,3454,1727,23.696412154540326,5073,45,learn.wwl.describe-concepts-of-security-compliance-identity,business-user;student,azure;m365,beginner,ceperezb,wwlpublish
Manage your education devices with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-manage-education-devices/,5,1388,6498,18.46%,195,36,40,1727,11.809125840537945,289,105,learn-m365-pr.m365-manage-education-devices,administrator,m365;mem-intune,beginner,teleary,temanteleary
Implement IoT device communication by using the Azure IoT SDKs,https://docs.microsoft.com/en-us/learn/paths/implement-iot-device-communication-by-using-azure-iot-sdks/,4,1086,13170,18.41%,641,118,137,1727,35.9146101903008,37,173,learn.wwl.implement-iot-device-communication-by-using-azure-iot-sdks,developer,azure;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
Prepare data for analysis,https://docs.microsoft.com/en-us/learn/paths/prepare-data-power-bi/,2,28140,321498,18.38%,19386,3564,3859,1727,42.188580904998815,17045,206,learn-bizapps.data-preparation-in-power-bi,data-analyst,power-bi,intermediate,robde,heyrob
Set up jobs and resources in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-jobs-resources/,6,312,2730,18.32%,131,24,25,1727,13.739049145299145,192,138,learn-dynamics.set-up-jobs-resources,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Configure and work with analytics and reporting in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/configure-analytics-reporting-finance-operations/,2,1421,10927,18.32%,819,150,154,1727,41.01247947454844,1425,127,learn-dynamics.configure-analytics-reporting-finance-operations,functional-consultant;business-user,dynamics-365;dynamics-finance-operations;dynamics-finance,intermediate,cstorega,cstorega
Manage Infrastructure for Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/manage-infrastructure-for-azure-stack-hub/,6,180,2291,18.29%,82,15,17,1727,21.419814814814814,12,275,learn.wwl.manage-infrastructure-for-azure-stack-hub,administrator;solution-architect,azure;azure-stack;azure-stack-hub,advanced,bradj,wwlpublish
SC-300: Implement an Authentication and Access Management solution,https://docs.microsoft.com/en-us/learn/paths/implement-authentication-access-management-solution/,4,4377,45019,18.26%,1555,284,324,1727,28.775081867336837,1039,191,learn.wwl.implement-authentication-access-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,roberts,wwlpublish
Configure your Microsoft 365 tenant,https://docs.microsoft.com/en-us/learn/paths/configure-your-microsoft-365-tenant/,6,1548,20816,18.15%,1135,206,235,1727,29.61054048234281,508,146,learn.wwl.configure-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Set up Microsoft Dynamics 365 Business Central for reporting,https://docs.microsoft.com/en-us/learn/paths/setup-reporting-dynamics-365-business-central/,3,1095,8964,18.01%,522,94,97,1727,23.97945205479452,941,174,learn-dynamics.setup-reporting-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Manage mailbox migrations,https://docs.microsoft.com/en-us/learn/paths/manage-mailbox-migrations/,4,96,805,18.00%,50,9,11,1727,14.536979166666667,20,136,learn.wwl.manage-mailbox-migrations,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
Windows Server high availability,https://docs.microsoft.com/en-us/learn/paths/windows-server-high-availability/,4,1201,8663,17.93%,396,71,83,1727,18.965459339439356,666,203,learn.wwl.windows-server-high-availability,administrator;security-engineer;solution-architect,windows-server,intermediate,tonyj,wwlpublish
Deploy and configure Windows Server IaaS Virtual Machine,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-windows-server-iaas-virtual-machine/,4,859,7624,17.92%,318,57,61,1727,19.4650950717889,364,204,learn.wwl.deploy-configure-windows-server-iaas-vm,administrator;solution-architect;student;technology-manager,azure;azure-clis;azure-cloud-shell;azure-portal;azure-storage;azure-virtual-machines,intermediate,tonyj,wwlpublish
Post job usage and sales in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/post-job-usage-sales/,3,120,838,17.86%,56,10,12,1727,13.130416666666667,135,133,learn-dynamics.post-job-usage-sales,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
AZ-104: Monitor and back up Azure resources,https://docs.microsoft.com/en-us/learn/paths/az-104-monitor-backup-resources/,9,10696,214864,17.76%,7324,1301,1415,1727,40.27473198703565,6975,290,learn.az-104-monitor-backup-resources,administrator,azure;azure-virtual-machines;azure-monitor;azure-application-insights;azure-backup;azure-site-recovery,beginner,cynthist,wwlpublish
Improve business performance with AI Builder,https://docs.microsoft.com/en-us/learn/paths/improve-business-performance-ai-builder/,9,3995,36831,17.71%,1146,203,227,1727,19.34840216937839,1226,416,learn-bizapps.improve-business-performance-ai-builder,maker;business-user,ai-builder,beginner,robde,heyrob
Architect storage infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,8,25220,375914,17.69%,2301,407,432,1727,35.214561855670105,9934,306,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate,jaboes,jboeshart
Implement advanced logic in Power Automate for desktop,https://docs.microsoft.com/en-us/learn/paths/pad-implement-advanced-logic/,5,1745,8032,17.68%,379,67,64,1727,9.902349570200574,454,140,learn-bizapps.pad-implement-advanced-logic,maker;developer;functional-consultant,power-platform;power-automate,intermediate,marleon,mariosleon
Manage your Microsoft 365 tenant,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-tenant/,5,1224,16328,17.67%,951,168,194,1727,37.918450435729845,490,184,learn.wwl.manage-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Create fixed assets in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-fixed-assets/,3,171,1223,17.58%,91,16,17,1727,20.93879142300195,159,83,learn-dynamics.create-fixed-assets,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Protect public sector data in Azure,https://docs.microsoft.com/en-us/learn/paths/protect-public-sector-data/,2,386,2500,17.50%,80,14,16,1727,4.359974093264249,72,41,learn.azure.protect-public-sector-data,business-user,azure;azure-blueprints;azure-iot-hub;azure-stack-hub;azure-stack-edge;azure-farmbeats;azure-active-directory;azure-key-vault;azure-security-center;azure-monitor;azure-policy;azure-firewall;azure-network-watcher;azure-ddos-protection;azure-sentinel;azure-advisor,intermediate,micrum,Adriamen
Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-customer-service/,4,8569,98577,17.50%,2572,450,484,1727,33.164801415956745,1231,180,learn.wwl.learn-fundamentals-microsoft-dynamics-365-customer-service,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-customer-service,beginner,ceabrams,wwlpublish
Solve problems in real time with Dynamics 365 Remote Assist,https://docs.microsoft.com/en-us/learn/paths/solve-problems-remote-assist/,2,339,2265,17.47%,229,40,42,1727,18.125368731563423,221,85,learn-dynamics.solve-problems-remote-assist,administrator;functional-consultant;business-user,dynamics-365;dynamics-field-service;dynamics-remote-assist,intermediate,dbeasley,DaveBeasley
Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-commerce/,3,3330,39130,17.46%,773,135,138,1727,40.986526526526525,483,136,learn.wwl.learn-fundamentals-microsoft-dynamics-365-commerce,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-commerce;dynamics-fraud-protection,beginner,ceabrams,wwlpublish
Get started with Microsoft data analytics,https://docs.microsoft.com/en-us/learn/paths/data-analytics-microsoft/,2,142718,753849,17.44%,45256,7894,8429,1727,14.676193729359062,26324,76,learn-bizapps.get-started-data-analytics,data-analyst,power-bi,intermediate,robde,heyrob
Reclassify fixed assets in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/reclassify-fixed-assets/,2,86,419,17.39%,46,8,9,1727,6.550968992248062,136,57,learn-dynamics.reclassify-fixed-assets,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Ensure business continuity and implement disaster recovery for SAP solutions on Azure​,https://docs.microsoft.com/en-us/learn/paths/ensure-business-continuity-implement-disaster-recovery/,3,210,3224,17.31%,156,27,31,1727,39.27595238095238,39,263,learn.wwl.ensure-business-continuity-implement-disaster-recovery,administrator;solution-architect,azure,advanced,eric,wwlpublish
Manage your Microsoft 365 security services,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-security-services/,5,928,10406,17.29%,451,78,87,1727,22.721928879310344,377,156,learn.wwl.manage-your-microsoft-365-security-services,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Monitor and troubleshoot an IoT solution by using Azure Monitor,https://docs.microsoft.com/en-us/learn/paths/monitor-troubleshoot-iot-solution-by-using-azure-monitor/,3,272,1583,17.26%,168,29,31,1727,19.179595588235294,18,115,learn.wwl.monitor-troubleshoot-iot-solution-by-using-azure-monitor,developer,azure;azure-iot-hub;azure-monitor;azure-portal;azure-service-health,intermediate,cahowd,wwlpublish
Extend Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/extending-finance-operations/,3,3655,31084,17.25%,661,114,122,1727,63.80055631554948,652,155,learn-dynamics.extending-dynamics-365-finance-operations,developer,dynamics-365;dynamics-finance-operations,intermediate,cstorega,cstorega
Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-project-operations-erp/,3,3473,39714,17.22%,755,130,133,1727,40.15910356080238,566,158,learn.wwl.explore-microsoft-dynamics-365-project-operations-erp,business-owner;business-user;functional-consultant;student,dynamics-365,beginner,ceabrams,wwlpublish
Migrate data and go live with Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/migrate-data-go-live-finance-operations/,4,2366,28226,17.04%,1285,219,239,1727,45.98868695407157,1910,258,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,functional-consultant;developer;solution-architect,dynamics-365;dynamics-finance-operations,intermediate,cstorega,cstorega
Manage advanced fixed assets transactions in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-advanced-fixed-assets-transactions/,5,217,1168,17.02%,47,8,8,1727,14.804377880184331,125,165,learn-dynamics.manage-advanced-fixed-assets-transactions,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Upgrade to Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/m365-teams-upgrade/,5,760,4562,16.97%,271,46,50,1727,11.930833333333334,6044,113,learn-m365.m365-teams-upgrade,administrator,m365;office-365;office-teams,intermediate,teleary,temanteleary
AZ-500 part 4: Manage security operation,https://docs.microsoft.com/en-us/learn/paths/manage-security-operation/,3,3626,44239,16.97%,2987,507,687,1727,23.56693785622357,882,189,learn.wwl.manage-security-operation,administrator;security-engineer,azure;azure-monitor;azure-security-center;azure-sentinel,intermediate,serlingdavis,wwlpublish
Realize Integrated Analytical Solutions with Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/paths/realize-integrated-analytical-solutions-with-azure-synapse-analytics/,4,7956,102633,16.91%,4736,801,874,1727,36.62021325624267,1915,196,learn.wwl.realize-integrated-analytical-solutions-with-azure-synapse-analytics,data-engineer,azure-synapse-analytics,beginner,jamesh,wwlpublish
Get started with Microsoft Viva Insights (Workplace Analytics),https://docs.microsoft.com/en-us/learn/paths/m365-workplace-analytics-start/,4,1914,13989,16.91%,964,163,172,1727,15.815081853012888,1010,151,learn-m365.workplace-analytics-get-started,business-analyst;data-analyst;business-owner,m365;m365-workplace-analytics;power-bi,beginner,ruihu,maggierui
Safeguard cloud resources,https://docs.microsoft.com/en-us/learn/paths/cmu-admin-monitor-secure-recover/,3,882,5017,16.88%,77,13,13,1727,20.534845049130762,734,160,learn.cmu-cloud-admin.cmu-monitor-secure-recover,administrator;student,azure,beginner,chnoring,softchris
AI business school for financial services,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-financial-services/,12,4878,58632,16.75%,382,64,66,1727,19.54075782424491,2071,576,learn.ai-business-school-financial-services,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Configure your organization in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/configure-your-organization-finance-ops/,9,3766,71300,16.75%,1463,245,216,1727,137.26163037705788,1927,793,learn-dynamics.configure-your-organization-in-finance-and-ops,business-user;functional-consultant;administrator,dynamics-365;dynamics-finance-operations,intermediate;advanced,cstorega,cstorega
Introduce DevOps Dojo: Create efficiencies that support your business,https://docs.microsoft.com/en-us/learn/paths/devops-dojo-white-belt-foundation/,6,2709,25223,16.70%,1413,236,251,1727,25.093681555309463,5412,120,learn.wwl.devops-dojo-white-belt-foundation,administrator;business-analyst;business-owner;business-user;developer;devops-engineer;functional-consultant;maker;security-engineer;solution-architect;technology-manager,azure,beginner,sallybre,wwlpublish
Manage the hybrid deployment life cycle,https://docs.microsoft.com/en-us/learn/paths/manage-hybrid-deployment-life-cycle/,5,78,667,16.67%,36,6,8,1727,26.580128205128204,7,173,learn.wwl.manage-hybrid-deployment-life-cycle,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
Set up engineering change management for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/set-up-engineering-change-management/,4,153,1509,16.67%,60,10,10,1727,16.511546840958605,64,268,learn-dynamics.set-up-engineering-change-management,administrator;functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,cstorega,cstorega
MS-500 part 3 - Implement and manage information protection,https://docs.microsoft.com/en-us/learn/paths/implement-manage-information-protection/,7,2461,34078,16.59%,1115,185,215,1727,39.715440877692,484,342,learn.wwl.implement-manage-information-protection,administrator;security-engineer;technology-manager,office-365,intermediate,hrasheed,wwlpublish
Introduction to Azure database administration,https://docs.microsoft.com/en-us/learn/paths/introduction-to-azure-database-administration/,1,513,2196,16.56%,320,53,58,1727,10.257147498375568,99,34,learn.wwl.introduction-to-azure-database-administration,data-analyst;data-engineer;database-administrator,azure-sql-database;azure-sql-managed-instance;azure-sql-virtual-machines,intermediate,jupadrao,wwlpublish
Implement applications and external access in Azure AD,https://docs.microsoft.com/en-us/learn/paths/implement-applications-external-access-azure-ad/,3,677,5331,16.55%,556,92,106,1727,23.065091088133926,260,92,learn.wwl.implement-applications-external-access-azure-ad,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
AZ-500 part 3: Secure your data and applications,https://docs.microsoft.com/en-us/learn/paths/secure-your-data-applications/,4,3621,65021,16.51%,2931,484,661,1727,37.03285004142502,825,335,learn.wwl.secure-your-data-applications,administrator;security-engineer,azure;azure-active-directory;azure-key-vault;azure-sql-database;azure-sql-managed-instance,intermediate,serlingdavis,wwlpublish
Replenish items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/replenish-items-dynamics-365-business-central/,3,315,2358,16.44%,146,24,25,1727,14.856190476190477,367,106,learn-dynamics.replenish-items-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Get started with cost accounting for supply chains in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/get-started-cost-accounting-supply-chains-dyn365-finance/,1,643,2666,16.40%,378,62,65,1727,10.751840331778123,799,56,learn-dynamics.get-started-cost-accounting-supply-chains-dyn365-finance,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-scm;dynamics-finance-operations,beginner,cstorega,cstorega
AZ-400: Design and implement a release strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-design-implement-release-strategy/,7,1821,32127,16.39%,1568,257,291,1727,38.74928610653487,172,136,learn.wwl.az-400-design-implement-release-strategy,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
AZ-400: Implement continuous feedback,https://docs.microsoft.com/en-us/learn/paths/az-400-implement-continuous-feedback/,8,1029,15966,16.37%,843,138,156,1727,29.44193391642371,103,153,learn.wwl.az-400-implement-continuous-feedback,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Learn how Microsoft supports using multifactor authentication as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/implement-mfa-for-cybersecurity/,3,3809,29789,16.36%,269,44,47,1727,28.976117966220354,319,137,learn-m365.cybersecurity-multifactor-authentication,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,beccarobins
Create a model-driven application in Power Apps,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,12147,129761,16.28%,6058,986,938,1727,34.81880985702917,7954,247,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner,kschimke,KevSch
Architect message brokering and serverless applications in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,8870,117444,16.13%,1159,187,204,1727,34.8643310785419,5778,376,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate,jaboes,jboeshart
AZ-400: Facilitate communication and collaboration,https://docs.microsoft.com/en-us/learn/paths/az-400-facilitate-communication-collaboration/,6,25866,209520,16.07%,529,85,89,1727,25.51644758885538,2001,147,learn.az-400-facilitate-communication-collaboration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops,beginner,thpetche,tpetchel
Implement a Data Streaming Solution with Azure Streaming Analytics,https://docs.microsoft.com/en-us/learn/paths/implement-data-streaming-with-asa/,3,3780,33888,16.02%,2297,368,389,1727,23.47805114638448,4128,138,learn.data-ai.implement-data-streaming-with-asa,data-engineer,azure;azure-portal;azure-storage;azure-stream-analytics,beginner,jamesh,wwlpublish
Configure apps in Finance and Operations,https://docs.microsoft.com/en-us/learn/paths/config-d365-finance-operations-apps/,3,593,5049,15.97%,357,57,59,1727,11.716891512085441,998,48,learn.wwl.config-d365-finance-operations-apps,business-analyst;business-user;developer;functional-consultant;solution-architect,dynamics-365;dynamics-finance;dynamics-finance-operations;dynamics-human-resources;dynamics-scm,beginner,jablak,wwlpublish
Set up fixed assets management in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-fixed-assets-management/,6,219,1704,15.94%,69,11,13,1727,17.715525114155252,169,152,learn-dynamics.set-up-fixed-assets-management,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Secure the Microsoft 365 Messaging environment,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-secure-environment/,3,1056,7694,15.87%,567,90,106,1727,20.800978535353536,1144,101,learn-m365.m365-messaging-secure-environment,administrator,m365;office-365;office-exchange-server,intermediate,teleary,temanteleary
Monitor and maintain Windows Server IaaS Virtual Machine,https://docs.microsoft.com/en-us/learn/paths/monitor-maintain-windows-server-iaas-virtual-machine/,5,1176,9397,15.81%,215,34,37,1727,16.50031179138322,375,247,learn.wwl.monitor-maintain-windows-server-iaas-vm,administrator;solution-architect;student;technology-manager,azure;azure-cloud-shell;azure-monitor;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
Explore SAP HANA on Azure (Large Instances),https://docs.microsoft.com/en-us/learn/paths/explore-sap-hana-azure-large-instances/,9,206,4126,15.79%,152,24,25,1727,31.90355987055016,29,310,learn.wwl.explore-sap-hana-azure-large-instances,administrator;solution-architect,azure,advanced,eric,wwlpublish
Use Lifecycle Services to design and plan an implementation of Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/use-lcs-design-plan-implementation-finance-operations/,3,2537,31636,15.76%,1586,250,230,1727,35.14394954670871,2011,209,learn-dynamics.use-lcs-to-design-and-plan-an-implementation-of-f-and-o,functional-consultant;administrator;solution-architect,dynamics-365;dynamics-finance-operations,beginner,cstorega,cstorega
Model data in Power BI,https://docs.microsoft.com/en-us/learn/paths/model-power-bi/,3,25878,267781,15.74%,15235,2398,2567,1727,43.86634464281114,15153,331,learn-bizapps.model-power-bi,data-analyst,power-bi,intermediate,robde,heyrob
Develop data insights and business integrations,https://docs.microsoft.com/en-us/learn/paths/develop-data-insights-business-integrations/,5,753,5254,15.67%,319,50,54,1727,18.019455511288182,34,213,learn.wwl.develop-data-insights-business-integrations,developer,azure;azure-clis;azure-event-grid;azure-iot-hub;azure-iot-sdk;azure-logic-apps;azure-portal;azure-storage;azure-time-series-insights,intermediate,cahowd,wwlpublish
Data analysis in Power BI,https://docs.microsoft.com/en-us/learn/paths/perform-analytics-power-bi/,2,13745,106330,15.64%,11362,1777,1908,1727,20.40621559354917,12665,112,learn-bizapps.data-analysis-power-bi,data-analyst,power-bi,intermediate,robde,heyrob
Migrate virtual machines and apps using Azure Migrate,https://docs.microsoft.com/en-us/learn/paths/m365-azure-migrate-virtual-machine/,4,558,4601,15.54%,399,62,63,1727,15.887096774193548,694,95,learn-m365.m365-azure-migrate-virtual-machine,administrator,m365;azure;azure-virtual-machines;azure-migrate,intermediate,nedelgad,ndelgado
Assemble items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/assemble-items-dynamics-365-business-central/,4,201,1316,15.38%,104,16,17,1727,19.06285240464345,379,146,learn-dynamics.assemble-items-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Microsoft Azure Data Fundamentals: Explore core data concepts,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-core-data-concepts/,5,31779,444654,15.34%,26258,4028,4438,1727,51.144033795902956,15884,99,learn.wwl.azure-data-fundamentals-explore-core-data-concepts,administrator;business-user;data-engineer;student,azure,beginner,rcaper,wwlpublish
SC-200: Mitigate threats using Microsoft Defender for Cloud,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-azure-defender/,5,1740,19672,15.28%,1355,207,212,1727,31.13102490421456,1016,242,learn.wwl.sc-200-mitigate-threats-using-azure-defender,security-operations-analyst,azure;azure-security-center,intermediate,bneeb,wwlpublish
Manage data governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-data-governance-microsoft-365/,5,350,2940,15.25%,223,34,40,1727,19.245666666666665,202,155,learn.wwl.manage-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Set up warehouse tasks in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-warehouse-tasks/,4,212,2479,15.22%,92,14,14,1727,17.065094339622643,163,224,learn-dynamics.set-up-warehouse-tasks,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
"Create apps, chatbots, and flows with Microsoft Dataverse and Teams",https://docs.microsoft.com/en-us/learn/paths/work-power-platform-teams/,5,2472,19343,15.20%,1059,161,176,1727,17.832065803667746,758,124,learn-bizapps.work-power-platform-teams,business-user;maker,power-platform;power-apps;power-automate;power-virtual-agents;office-teams;common-data-service,beginner,dbeasley,DaveBeasley
Monitor and optimize operational resources in SQL Server,https://docs.microsoft.com/en-us/learn/paths/monitor-optimize-operational-resources-sql-server/,5,1527,14690,15.14%,1004,152,127,1727,30.56012879283999,978,202,learn.wwl.monitor-optimize-operational-resources-sql-server,administrator,azure,intermediate,kadelane,wwlpublish
AZ-400: Work with Git for enterprise DevOps,https://docs.microsoft.com/en-us/learn/paths/az-400-work-git-for-enterprise-devops/,6,3187,38196,15.08%,2778,419,476,1727,31.808539901683925,244,103,learn.wwl.az-400-work-git-for-enterprise-devops,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Cloud administration basics,https://docs.microsoft.com/en-us/learn/paths/cmu-admin/,7,2147,17522,15.08%,199,30,33,1727,25.272240335351654,284,397,learn.cmu-cloud-admin.cloud-admin,administrator;student,azure,beginner,chnoring,softchris
Work with WinAutomation,https://docs.microsoft.com/en-us/learn/paths/work-with-winautomation/,8,206,1680,15.07%,73,11,12,1727,15.155582524271844,273,303,learn-bizapps.work-with-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,intermediate,dbeasley,DaveBeasley
SC-300: Plan and implement an identity governance strategy,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-governance-strategy/,4,2297,25519,14.95%,1217,182,200,1727,30.120359889711217,896,189,learn.wwl.plan-implement-identity-governance-strategy,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,roberts,wwlpublish
Implement goal management in Dynamics 365 Sales and Customer Service,https://docs.microsoft.com/en-us/learn/paths/apply-goal-management-dynamics-365/,2,812,4827,14.93%,710,106,110,1727,14.810139573070607,1356,78,learn-bizapps.applying-goal-management,business-user;functional-consultant,dynamics-365;dynamics-sales;dynamics-customer-service,beginner,dbeasley,DaveBeasley
Get started with Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/get-started-azure-cosmos-db-sql-api/,2,929,5615,14.92%,784,117,133,1727,15.597470398277718,64,56,learn.wwl.get-started-azure-cosmos-db-sql-api,data-engineer;developer,azure;azure-cosmos-db,intermediate,calopez,wwlpublish
Purchase items and services in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/purchase-items-services-dynamics-365-business-central/,5,1225,13050,14.90%,671,100,105,1727,25.755510204081634,770,190,learn-dynamics.purchase-items-services-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Set up calling in Microsoft Teams with Phone System,https://docs.microsoft.com/en-us/learn/paths/m365-teams-voice/,7,841,8068,14.88%,289,43,45,1727,22.355786761791517,277,230,learn-m365-pr.m365-teams-calling,administrator,m365,advanced,teleary,temanteleary
AZ-305: Design infrastructure solutions,https://docs.microsoft.com/en-us/learn/paths/design-infranstructure-solutions/,4,3494,42692,14.87%,2657,395,454,1727,33.565078229345545,369,120,learn.wwl.design-infranstructure-solutions,solution-architect,azure,advanced,cynthist,wwlpublish
