Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Master Microsoft Teams for any learning environment,https://docs.microsoft.com/en-us/learn/paths/master-microsoft-teams-any-learning-environment/,8,6278,169914,49.09%,1153,566,600,1727,15.009318254221089,265,463,learn.mec.master-microsoft-teams-any-learning-environment,k-12-educator,office-teams,intermediate,abdewees,mec-sa
Manage insider risk in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-compliance-insider/,5,1355,10546,48.97%,243,119,131,1727,24.061537515375154,1563,223,learn-m365.m365-compliance-insider,administrator;auditor,m365;office-365,intermediate,beccarobins,beccarobins
Implement Windows Server IaaS VM networking,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-networking/,3,907,7299,46.82%,173,81,91,1727,18.099154722528482,323,172,learn.wwl.implement-windows-server-iaas-vm-networking,administrator;solution-architect;technology-manager,azure;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
Implement an Azure Virtual Desktop infrastructure,https://docs.microsoft.com/en-us/learn/paths/implement-azure-virtual-infrastructure/,4,351,5327,46.75%,154,72,88,1727,30.45740740740741,33,198,learn.wwl.implement-azure-virtual-infrastructure,administrator;solution-architect,azure;azure-virtual-desktop;azure-virtual-machines,intermediate,bradj,wwlpublish
Get started with Microsoft Cloud for Financial Services,https://docs.microsoft.com/en-us/learn/paths/financial-services-in-a-day/,7,148,2472,45.71%,70,32,32,1727,16.822747747747748,10,229,learn-bizapps.financial-services-in-a-day,business-user;functional-consultant,industry-solutions;mscloud-financial,intermediate,dbeasley,DaveBeasley
Identify principles and practices for responsible AI,https://docs.microsoft.com/en-us/learn/paths/responsible-ai-business-principles/,3,1819,13306,45.20%,281,127,132,1727,15.315127359354957,925,168,learn.responsible-ai-business-principles,functional-consultant;business-user,azure;dynamics-365;m365,intermediate,rawortma,RWortmanMorris
Education Transformation Framework,https://docs.microsoft.com/en-us/learn/paths/education-transformation-framework/,4,883,13722,44.72%,407,182,211,1727,14.400415251038128,119,231,learn.mec.education-transformation-framework,k-12-educator;school-leader,office-teams,beginner,abdewees,mec-sa
Microsoft Azure AI Fundamentals: Explore knowledge mining,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-knowledge-mining/,1,2604,21163,40.90%,2247,919,1009,1727,19.56445852534562,413,65,learn.wwl.explore-fundamentals-of-knowledge-mining,ai-engineer;student,azure-search,beginner,robmcm,wwlpublish
Microsoft Azure AI Fundamentals: Explore decision support,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-decision-support/,1,2145,14599,40.89%,2008,821,894,1727,14.12895881895882,403,38,learn.wwl.explore-fundamentals-of-decision-support,ai-engineer;student,azure-anomaly-detector,beginner,gerryo,wwlpublish
21st century learning design,https://docs.microsoft.com/en-us/learn/paths/21st-century-learning-design/,8,4438,119202,40.62%,1445,587,631,1727,30.459538831305395,175,422,learn.mec.21st-century-learning-design,k-12-educator;school-leader,office-365,intermediate,abdewees,mec-sa
