Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Protect against malicious threats with Microsoft Defender for Office 365,https://docs.microsoft.com/en-us/learn/paths/defender-office-365-malicious-threats/,3,260,1983,18.07%,166,30,32,1719,21.11102564102564,218,92,learn-m365.defender-office-365-malicious-threats,administrator;security-operations-analyst;security-engineer,m365;mdatp,beginner,beccarobins,alistairmatthews
Get started with Microsoft data analytics,https://docs.microsoft.com/en-us/learn/paths/data-analytics-microsoft/,2,117630,616217,17.97%,36668,6589,7051,1719,14.500466292612428,23505,76,learn-bizapps.get-started-data-analytics,data-analyst,power-bi,intermediate,robde,heyrob
Build expertise with WinAutomation,https://docs.microsoft.com/en-us/learn/paths/advanced-winautomation/,7,303,2100,17.95%,78,14,14,1719,7.261221122112211,216,217,learn-bizapps.advanced-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,advanced,dbeasley,DaveBeasley
Microsoft Azure Data Fundamentals: Explore core data concepts,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-core-data-concepts/,5,25906,391506,17.87%,21286,3803,4167,1719,53.72496268560694,14148,99,learn.wwl.azure-data-fundamentals-explore-core-data-concepts,administrator;business-user;data-engineer;student,azure,beginner,rcaper,wwlpublish
Azure Fundamentals part 2: Describe core Azure services (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-azure-services/,4,111735,1717722,17.83%,85949,15324,16758,1719,48.84212854820185,45049,160,learn.az-900-describe-core-azure-services,administrator;solution-architect;developer;student,azure;azure-app-service;azure-blob-storage;azure-container-instances;azure-container-registry;azure-cosmos-db;azure-databricks;azure-data-lake;azure-expressroute;azure-files;azure-hdinsight;azure-kubernetes-service;azure-sql-database;azure-storage;azure-storage-accounts;azure-synapse-analytics;azure-virtual-machines;azure-virtual-network;azure-vpn-gateway,beginner,rknapp,Randall-Knapp
SC-300: Implement an Authentication and Access Management solution,https://docs.microsoft.com/en-us/learn/paths/implement-authentication-access-management-solution/,4,4228,42521,17.79%,1360,242,278,1719,27.417068748029013,919,191,learn.wwl.implement-authentication-access-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,roberts,wwlpublish
Implement IoT device communication by using the Azure IoT SDKs,https://docs.microsoft.com/en-us/learn/paths/implement-iot-device-communication-by-using-azure-iot-sdks/,4,886,10389,17.76%,456,81,90,1719,30.769864559819414,22,173,learn.wwl.implement-iot-device-communication-by-using-azure-iot-sdks,developer,azure;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
Run high-performance computing (HPC) applications on Azure,https://docs.microsoft.com/en-us/learn/paths/run-high-performance-computing-applications-azure/,13,1238,15981,17.73%,203,36,37,1719,23.915051157781367,107,632,learn.azure.run-high-performance-computing-applications-azure,administrator;developer;solution-architect;student;technology-manager;functional-consultant,azure;azure-hpc-cache;azure-batch;azure-virtual-machines;azure-cyclecloud;azure-netapp-files,beginner;intermediate,nickwalk,nickwalkmsft
Improve business performance with AI Builder,https://docs.microsoft.com/en-us/learn/paths/improve-business-performance-ai-builder/,9,3567,31997,17.70%,972,172,188,1719,18.099598168395477,1175,416,learn-bizapps.improve-business-performance-ai-builder,maker;business-user,ai-builder,beginner,robde,heyrob
AZ-400: Design and implement a dependency management strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-design-implement-dependency-management-strategy/,4,565,6777,17.68%,509,90,103,1719,18.176961651917406,32,67,learn.wwl.az-400-design-implement-dependency-management-strategy,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Manage role-based permissions in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-role-based-permissions-microsoft-365/,3,135,722,17.65%,68,12,12,1719,7.401111111111111,13,97,learn.wwl.manage-role-based-permissions-microsoft-365,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
Work with WinAutomation,https://docs.microsoft.com/en-us/learn/paths/work-with-winautomation/,8,227,2775,17.65%,85,15,16,1719,13.83920704845815,265,303,learn-bizapps.work-with-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,intermediate,dbeasley,DaveBeasley
Introduction to Secure Network Infrastructure with Azure network security,https://docs.microsoft.com/en-us/learn/paths/secure-networking-infrastructure/,5,1720,9565,17.57%,148,26,29,1719,15.633827519379844,97,190,learn.secure-networking-infrastructure,business-user,azure-firewall;azure-firewall-manager;azure-ddos-protection;azure-virtual-wan;azure-private-link,beginner,micrum,micrum
Manage meetings and calling in Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/manage-meetings-calling-microsoft-teams/,5,1848,26376,17.53%,1261,221,243,1719,36.72639790764791,612,276,learn.wwl.manage-meetings-calling-microsoft-teams,administrator,m365;office-teams,intermediate,jennyche,wwlpublish
AZ-500 part2: Implement platform protection,https://docs.microsoft.com/en-us/learn/paths/implement-platform-protection/,4,3528,60788,17.47%,2868,501,567,1719,55.06630291005291,554,362,learn.wwl.implement-platform-protection,administrator;security-engineer,azure;azure-active-directory;azure-firewall,intermediate,roberts,wwlpublish
Enhance IoT solution security by using Azure Defender for IoT,https://docs.microsoft.com/en-us/learn/paths/enhance-iot-solution-security-by-using-azure-defender/,4,191,1746,17.42%,132,23,26,1719,17.006806282722515,13,151,learn.wwl.enhance-iot-solution-security-by-using-azure-defender,developer,azure;azure-defender-iot;azure-iot-edge;azure-iot-hub;azure-iot-sdk;azure-portal;azure-security-center,intermediate,cahowd,wwlpublish
AI business school for education,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-education/,12,5131,51000,17.37%,495,86,87,1719,15.914552069122328,1553,582,learn.ai-business-school-education,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Ensure business continuity and implement disaster recovery for SAP solutions on Azure​,https://docs.microsoft.com/en-us/learn/paths/ensure-business-continuity-implement-disaster-recovery/,3,127,1510,17.28%,81,14,15,1719,14.737795275590551,26,263,learn.wwl.ensure-business-continuity-implement-disaster-recovery,administrator;solution-architect,azure,advanced,eric,wwlpublish
Extend Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/extend-customer-service/,2,325,1845,17.28%,81,14,16,1719,17.062461538461537,8,79,learn-dynamics.extend-customer-service,functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate,kschimke,KevSch
Calculate and post job WIP in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/calculate-post-job-wip/,3,132,866,17.14%,70,12,12,1719,14.224873737373738,126,94,learn-dynamics.calculate-post-job-wip,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Implement a secure environment for a database service,https://docs.microsoft.com/en-us/learn/paths/implement-secure-environment-database-service/,3,1454,13848,17.14%,910,156,173,1719,28.58626776707932,1551,150,learn.wwl.implement-secure-environment-database-service,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,kadelane,wwlpublish
Extend Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/extending-finance-operations/,3,2558,17735,17.14%,426,73,79,1719,32.83848058378942,626,155,learn-dynamics.extending-dynamics-365-finance-operations,developer,dynamics-365;dynamics-finance-operations,intermediate,cstorega,cstorega
GitHub fundamentals - Administration basics and product features.,https://docs.microsoft.com/en-us/learn/paths/github-administration-products/,3,4854,22903,17.12%,695,119,135,1719,12.17523691800577,1023,112,learn.github.github-administration-products,administrator;devops-engineer;technology-manager,github,intermediate,jumcn,jamcneil
Set up Microsoft Dynamics 365 Business Central for reporting,https://docs.microsoft.com/en-us/learn/paths/setup-reporting-dynamics-365-business-central/,3,1059,8045,17.08%,527,90,86,1719,22.262732137236387,908,174,learn-dynamics.setup-reporting-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
