Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,45532,705870,138.83%,394,547,600,1719,45.205981507511204,227,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner,marouill,MaximRouiller
Share data with Azure Data Share,https://docs.microsoft.com/en-us/learn/paths/share-data-with-azure-data-share/,2,1190,16439,115.13%,119,137,149,1719,26.889243697478992,174,82,learn.wwl.sharing-data-with-azure-data-share,data-engineer,azure-data-share,intermediate,chtestao,wwlpublish
Manage the hybrid deployment life cycle,https://docs.microsoft.com/en-us/learn/paths/manage-hybrid-deployment-life-cycle/,5,45,1221,111.76%,17,19,19,1719,24.354444444444443,1,173,learn.wwl.manage-hybrid-deployment-life-cycle,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
Learn how Microsoft supports cloud adoption as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/secure-cloud-adoption-cybersecurity/,2,23993,273144,103.51%,171,177,196,1719,34.6945609135998,302,91,learn-m365.cybersecurity-secure-cloud-adoption,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,lizap
Implement Windows Server IaaS VM Identity,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-identity/,2,1351,10423,102.78%,144,148,168,1719,22.613422156427337,329,148,learn.wwl.implement-windows-server-iaas-vm-identity,administrator;solution-architect;technology-manager,azure;azure-active-directory;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
Manage mailbox migrations,https://docs.microsoft.com/en-us/learn/paths/manage-mailbox-migrations/,4,46,982,80.00%,25,20,20,1719,17.342028985507245,4,136,learn.wwl.manage-mailbox-migrations,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
OneNote teacher academy,https://docs.microsoft.com/en-us/learn/paths/onenote-teacher-academy/,4,13082,400835,74.28%,3242,2408,2853,1719,15.776847322020078,429,253,learn.mec.onenote-teacher-academy,k-12-educator;school-leader,office-onenote,intermediate,abdewees,mec-sa
Bring AI to business users in your organization,https://docs.microsoft.com/en-us/learn/paths/bring-ai-to-business-users-your-organization/,3,65024,440948,68.12%,389,265,278,1719,24.01650621309055,929,113,learn.wwl.bring-ai-to-business-users-your-organization,business-user,m365;power-platform,beginner,japerena,wwlpublish
Deploy and work with Account Protection and Purchase Protection for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-account-purchase-protection/,5,225,2052,63.89%,36,23,25,1719,10.419185185185185,1,312,learn-dynamics.deploy-work-account-purchase-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection;dynamics-commerce,intermediate,cstorega,cstorega
Implement resource management security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,47038,649726,61.98%,1244,771,792,1719,39.44068944257834,9910,207,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate,adsteven,adrianstevens
Provide services for Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/provide-services-for-azure-stack-hub/,5,79,1705,60.71%,28,17,17,1719,22.08016877637131,2,349,learn.wwl.provide-services-for-azure-stack-hub,administrator;solution-architect,azure;azure-stack;azure-stack-hub,advanced,bradj,wwlpublish
Manage Infrastructure for Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/manage-infrastructure-for-azure-stack-hub/,6,118,2423,59.52%,42,25,25,1719,34.90776836158192,2,275,learn.wwl.manage-infrastructure-for-azure-stack-hub,administrator;solution-architect,azure;azure-stack;azure-stack-hub,advanced,bradj,wwlpublish
Manage Identity and Access for Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/manage-identity-access-for-azure-stack-hub/,2,85,910,56.82%,44,25,27,1719,17.33921568627451,3,107,learn.wwl.manage-identity-access-for-azure-stack-hub,administrator;solution-architect,azure;azure-stack;azure-stack-hub,advanced,bradj,wwlpublish
Implement Data Center Integration for Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/implement-data-center-integration-for-azure-stack-hub/,3,70,1030,56.52%,46,26,27,1719,25.715238095238096,3,128,learn.wwl.implement-data-center-integration-for-azure-stack-hub,administrator;solution-architect,azure;azure-stack;azure-stack-hub,advanced,bradj,wwlpublish
Manage insider risk in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-compliance-insider/,5,1394,12108,55.69%,246,137,164,1719,20.84672405547585,1544,223,learn-m365.m365-compliance-insider,administrator;auditor,m365;office-365,intermediate,beccarobins,ericweisberg
Implement network security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-network-security/,5,26252,271104,55.49%,1339,743,802,1719,28.415564528416883,8773,310,learn.security.implement-network-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-application-gateway;azure-expressroute;azure-virtual-network;azure-vpn-gateway,beginner;intermediate,adsteven,adrianstevens
Master Microsoft Teams for any learning environment,https://docs.microsoft.com/en-us/learn/paths/master-microsoft-teams-any-learning-environment/,8,9163,335630,52.85%,1264,668,741,1719,14.806960966204663,144,463,learn.mec.master-microsoft-teams-any-learning-environment,k-12-educator,office-teams,intermediate,abdewees,mec-sa
<learning path title,https://docs.microsoft.com/en-us/learn/paths/integrate-azure-synapse-analytics-azure-data-ai-services/,2,624,5534,52.12%,259,135,140,1719,9.45977564102564,451,106,learn.wwl.integrate-azure-synapse-analytics-azure-data-ai-services,data-analyst;data-engineer;data-scientist,azure-machine-learning;power-bi;azure-synapse-analytics,intermediate,chtestao,wwlpublish
Help agents be more productive in Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/agents-help-customer-service/,2,119,1025,51.85%,27,14,14,1719,17.870168067226892,4,107,learn-dynamics.agents-help-customer-service,functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate,kschimke,KevSch
Deploy and configure Microsoft Edge and Microsoft Search for all your devices,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-microsoft-edge-search-for-devices/,5,980,6123,50.68%,73,37,41,1719,7.026700680272109,263,104,learn.wwl.deploy-configure-microsoft-edge-search-for-devices,administrator,m365;office-365,intermediate,ceperezb,wwlpublish
"Learn the basics of Power BI Desktop, Power Automate, and PowerApps",https://docs.microsoft.com/en-us/learn/paths/power-platform-introduction/,3,94387,498080,50.12%,1638,821,828,1719,14.682878821589131,2621,185,learn.wwl.power-platform-introduction,business-user,power-apps;power-platform,intermediate,ceperezb,wwlpublish
Implement virtual machine host security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-host-security/,6,22534,176207,49.42%,775,383,413,1719,14.624515546877312,6120,364,learn.security.implement-host-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-virtual-machines,beginner;intermediate,adsteven,adrianstevens
Manage access and security for Azure Virtual Desktop,https://docs.microsoft.com/en-us/learn/paths/manage-access-security/,2,61,611,48.65%,37,18,19,1719,21.279234972677596,6,88,learn.wwl.manage-access-security,administrator;solution-architect,azure;azure-virtual-desktop;azure-virtual-machines,intermediate,bradj,wwlpublish
Best practices for Azure migration and modernization,https://docs.microsoft.com/en-us/learn/paths/best-practices-azure-migration/,3,507,4965,48.57%,35,17,19,1719,18.631097961867194,12,245,learn.best-practices-azure-migration,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure;azure-migrate,intermediate,jumcn,jamcneil
Education Transformation Framework,https://docs.microsoft.com/en-us/learn/paths/education-transformation-framework/,4,808,12327,46.23%,398,184,200,1719,11.615882838283829,61,231,learn.mec.education-transformation-framework,k-12-educator;school-leader,office-teams,beginner,abdewees,mec-sa
Build a question answering solution,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,1,976,10141,45.14%,864,390,421,1719,14.614873633879782,158,36,learn.wwl.build-qna-solution,ai-engineer;developer,azure-cognitive-services,intermediate,gmalc,wwlpublish
Manage the lifecycle of your projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/manage-project-lifecycle-github/,6,5603,43906,45.00%,1309,589,594,1719,14.040213576060443,1486,358,learn.manage-project-lifecycle-github,devops-engineer;administrator;developer;solution-architect,github,intermediate,thpetche,tpetchel
Introduction to AI technology for business leaders,https://docs.microsoft.com/en-us/learn/paths/ai-technology-for-business-leaders/,2,1625,12674,44.52%,429,191,203,1719,10.19163076923077,2596,91,learn.ai-technology-for-business-leaders,functional-consultant;business-user,azure;dynamics-365;m365,beginner,rawortma,RWortmanMorris
Build community-driven software projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/build-community-driven-projects-github/,7,5854,46485,44.50%,791,352,373,1719,12.55670766427514,930,361,learn.build-community-driven-projects-github,devops-engineer;developer;solution-architect,github,beginner,thpetche,tpetchel
Implement Microsoft identity – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-identity-associate/,5,2610,54058,44.43%,817,363,694,1719,28.943473818646233,2319,342,learn-m365.identity-associate,developer,m365;azure-active-directory,intermediate,suzanz,andrewconnell-msft
Implement Windows Server IaaS VM networking,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-networking/,3,792,6049,42.86%,147,63,69,1719,15.56567760942761,310,172,learn.wwl.implement-windows-server-iaas-vm-networking,administrator;solution-architect;technology-manager,azure;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
Microsoft Azure AI Fundamentals: Explore knowledge mining,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-knowledge-mining/,1,2222,17434,42.85%,1965,842,863,1719,18.874849984998498,210,46,learn.wwl.explore-fundamentals-of-knowledge-mining,ai-engineer;student,azure-search,beginner,robmcm,wwlpublish
Microsoft Azure AI Fundamentals: Explore decision support,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-decision-support/,1,2027,14307,41.45%,1894,785,853,1719,14.318968919585595,203,38,learn.wwl.explore-fundamentals-of-decision-support,ai-engineer;student,azure-anomaly-detector,beginner,gerryo,wwlpublish
Overview of Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/overview-of-azure-stack-hub/,3,124,1585,40.35%,57,23,24,1719,19.305913978494623,3,143,learn.wwl.overview-of-azure-stack-hub,administrator;solution-architect,azure;azure-stack,advanced,bradj,wwlpublish
Microsoft Azure AI Fundamentals: Explore conversational AI,https://docs.microsoft.com/en-us/learn/paths/explore-conversational-ai/,1,5367,32048,40.32%,4236,1708,1898,1719,11.128451648965903,3084,29,learn.wwl.explore-conversational-ai,ai-engineer;data-scientist;developer;solution-architect;student,azure-bot-service;azure-cognitive-services,beginner,gerryo,wwlpublish
Manage identities and governance for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-identities-governance/,14,42934,461016,40.10%,601,241,250,1719,29.226459992857254,1020,496,learn.azure-admin-manage-identities-governance,administrator,azure;azure-active-directory;azure-rbac;azure-resource-manager;azure-cost-management,beginner,cwatson,cwatson-cat
Discover ways to foster an AI-ready culture in your business,https://docs.microsoft.com/en-us/learn/paths/foster-ai-ready-culture/,5,1180,11175,39.89%,366,146,152,1719,13.301045197740113,1173,202,learn.foster-an-ai-ready-culture-in-business,functional-consultant;business-user,azure;dynamics-365;m365,intermediate,rawortma,RWortmanMorris
Accessibility fundamentals,https://docs.microsoft.com/en-us/learn/paths/accessibility-fundamentals/,4,9822,181868,39.38%,8327,3279,3348,1719,13.512222561596417,4964,145,learn.accessibility-fundamentals,administrator;student,m365,beginner,erzelman,erzelman
AZ-204: Instrument solutions to support monitoring and logging,https://docs.microsoft.com/en-us/learn/paths/az-204-instrument-solutions-support-monitoring-logging/,1,1729,12808,38.03%,1554,591,690,1719,18.078031617505303,101,27,learn.wwl.az-204-instrument-solutions-to-support-monitoring-logging,developer,azure-application-insights,intermediate,jeffko,wwlpublish
Extract text from images and documents,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,2,1513,17390,37.96%,1238,470,507,1719,14.983046926635822,381,91,learn.wwl.extract-text-from-images-documents,ai-engineer;data-scientist;student,azure-form-recognizer,intermediate,sheryang,wwlpublish
Implement knowledge mining with Azure Cognitive Search,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,3,1373,21275,37.52%,1186,445,481,1719,25.30523185239136,674,155,learn.wwl.implement-knowledge-mining-azure-cognitive-search,ai-engineer;developer;solution-architect,azure;azure-cognitive-services;azure-sdks;azure-cognitive-search,intermediate,gmalc,wwlpublish
Process and Translate Speech with Azure Cognitive Speech Services,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,2,1676,19556,36.67%,1170,429,456,1719,19.717094272076373,1489,105,learn.wwl.process-translate-speech-azure-cognitive-speech-services,ai-engineer;developer,azure;azure-cognitive-services,intermediate,gmalc,wwlpublish
AZ-204: Develop message-based solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-message-based-solutions/,1,1758,13420,36.15%,1599,578,659,1719,22.17276260902541,114,30,learn.wwl.az-204-develop-message-based-solutions,developer,azure-queue-storage;azure-service-bus,intermediate,jeffko,wwlpublish
AZ-204: Implement API Management,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-api-management/,1,2257,17030,36.01%,1902,685,791,1719,21.168461084034856,151,37,learn.wwl.az-204-implement-api-management,developer,azure-api-management,intermediate,jeffko,wwlpublish
Azure Fundamentals part 6: Describe Azure cost management and service level agreements (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-azure-cost-management-service-level-agreements/,2,39150,422571,35.70%,31649,11299,12565,1719,29.86650276713495,25972,70,learn.az-900-describe-azure-cost-management-service-level-agreements,administrator;business-analyst;business-user;data-engineer;data-scientist;developer;devops-engineer;solution-architect,azure,beginner,rknapp,Randall-Knapp
Create a Language Understanding solution,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,3,1418,22762,35.15%,1158,407,434,1719,22.59004466384579,215,148,learn.wwl.create-language-understanding-solution,ai-engineer;developer,azure-cognitive-services;azure-language-understanding,intermediate,gmalc,wwlpublish
Manage public folders in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-public-folders-microsoft-365/,3,66,770,34.88%,43,15,17,1719,15.786111111111111,9,102,learn.wwl.manage-public-folders-microsoft-365,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
AZ-204: Integrate caching and content delivery within solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-integrate-caching-content-delivery-within-solutions/,2,1767,16602,34.35%,1575,541,613,1719,22.38517260894171,100,39,learn.wwl.az-204-integrate-caching-content-delivery-within-solutions,developer,azure-cache-redis;azure-queue-storage,intermediate,jeffko,wwlpublish
AZ-204: Implement secure cloud solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-secure-cloud-solutions/,3,1943,26712,34.25%,1673,573,669,1719,28.873297306570596,135,63,learn.wwl.az-204-implement-secure-cloud-solutions,developer,azure;azure-app-configuration;azure-key-vault;azure-rbac,intermediate,jeffko,wwlpublish
Design and implement a replication strategy for Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/design-implement-replication-strategy-cosmos-db-sql-api/,3,162,2292,33.91%,115,39,44,1719,18.469650205761315,5,116,learn.wwl.design-implement-replication-strategy-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Safely return to school and the workplace using solutions,https://docs.microsoft.com/en-us/learn/paths/return-work-school/,2,186,1058,33.71%,89,30,34,1719,7.8909498207885305,74,42,learn-bizapps.return-work-school,maker;business-user,power-platform;power-apps,beginner,dbeasley,DaveBeasley
Process and translate text with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,2,1508,17891,33.52%,1268,425,453,1719,19.899436339522545,223,108,learn.wwl.process-translate-text-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services,intermediate,gmalc,wwlpublish
Collaborate with others with Markdown and GitHub Pages,https://docs.microsoft.com/en-us/learn/paths/collaborate-markdown-github-pages/,3,5045,28719,33.49%,1048,351,379,1719,12.134856293359762,1024,206,learn.collaborate-markdown-github-pages,devops-engineer;administrator;developer;solution-architect;student,github,beginner,thpetche,tpetchel
"Azure Fundamentals part 5: Describe identity, governance, privacy, and compliance features (AZ-900)",https://docs.microsoft.com/en-us/learn/paths/az-900-describe-identity-governance-privacy-compliance-features/,3,45083,703826,32.48%,35047,11385,12692,1719,41.07092178130707,29586,92,learn.az-900-describe-identity-governance-privacy-compliance-features,administrator;data-engineer;developer;devops-engineer;business-analyst;business-user;solution-architect,azure;azure-active-directory;azure-policy;azure-blueprints;azure-rbac,beginner,rknapp,Randall-Knapp
Azure Fundamentals part 4: Describe general security and network security features (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-general-security-network-security-features/,2,49649,576386,32.24%,37898,12217,13523,1719,31.85107320053442,30625,59,learn.az-900-describe-general-security-network-security-features,administrator;developer;business-analyst;business-user;solution-architect,azure,beginner,rknapp,Randall-Knapp
Build apps with Microsoft Graph – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-associate/,7,4040,83285,32.07%,1160,372,697,1719,25.90910891089109,2052,461,learn-m365.msgraph-associate,developer,ms-graph;m365,intermediate,suzanz,andrewconnell-msft
Build data analytics solutions using Azure Synapse serverless SQL pools,https://docs.microsoft.com/en-us/learn/paths/build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools/,6,1495,18526,32.01%,628,201,208,1719,18.44726867335563,408,164,learn.wwl.build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools,data-engineer,azure-synapse-analytics,intermediate,chtestao,wwlpublish
AZ-204: Develop event-based solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-event-based-solutions/,2,1884,22154,31.61%,1648,521,594,1719,33.299265746638355,130,54,learn.wwl.az-204-develop-event-based-solutions,developer,azure-event-grid;azure-event-hubs,intermediate,jeffko,wwlpublish
Microsoft Azure Data Fundamentals: Explore modern data warehouse analytics in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-data-warehouse-analytics/,3,97326,469742,31.50%,8647,2724,2660,1719,13.791726602689243,6673,126,learn.wwl.azure-data-fundamentals-explore-data-warehouse-analytics,administrator;business-user;data-engineer,azure,beginner,rcaper,wwlpublish
Manage security operations in Azure,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,8,39098,378792,31.49%,1429,450,476,1719,25.42170230361314,8508,360,learn.security.manage-security-operations,administrator;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate,adsteven,adrianstevens
AZ-204: Develop solutions that use Blob storage,https://docs.microsoft.com/en-us/learn/paths/develop-solutions-that-use-blob-storage/,3,3095,42896,31.48%,2646,833,945,1719,33.10242326332795,222,85,learn.wwl.develop-solutions-that-use-blob-storage,developer,azure,intermediate,jeffko,wwlpublish
Migrate servers and workloads in on-premises and hybrid environments,https://docs.microsoft.com/en-us/learn/paths/migrate-servers-workloads-premises-hybrid-environments/,6,943,5487,31.40%,121,38,39,1719,11.830028278543654,16,218,learn.wwl.migrate-servers-workloads-premises-hybrid-environments,administrator;solution-architect;technology-manager,azure;azure-active-directory;azure-storage-accounts;windows-server,intermediate,tonyj,wwlpublish
SC-400: Implement Information Governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/implement-information-governance/,3,1343,13123,31.34%,737,231,245,1719,24.798225366095807,629,158,learn.wwl.implement-information-governance,auditor;ip-admin,m365;m365-information-protection,intermediate,bneeb,wwlpublish
Work with Hybrid Transactional and Analytical Processing Solutions using Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,4,1833,28672,31.09%,1264,393,429,1719,33.20502818694308,781,146,learn.wwl.work-with-hybrid-transactional-analytical-processing-solutions,data-engineer,azure-synapse-analytics,intermediate,chtestao,wwlpublish
Define and implement an indexing strategy for Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/define-implement-indexing-strategy-cosmos-db-sql-api/,2,161,1219,31.01%,129,40,49,1719,13.753312629399586,5,83,learn.wwl.define-implement-indexing-strategy-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Improve your reliability with modern operations practices,https://docs.microsoft.com/en-us/learn/paths/improve-reliability-modern-operations/,6,591,6944,30.89%,123,38,42,1719,25.587760857304005,650,170,learn.improve-reliability-modern-operations,administrator;devops-engineer;solution-architect;technology-manager,azure,beginner,dnb,dnblankedelman
"Microsoft 365 Fundamentals: Demonstrate knowledge of Microsoft 365 licensing, service and support",https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,5,18930,198653,30.83%,4123,1271,1417,1719,18.14876738862476,5730,67,learn.wwl.m365-licensing-service-support,business-owner;business-user,m365;office-365,beginner,dahans,wwlpublish
AZ-204: Develop solutions that use Azure Cosmos DB,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-solutions-that-use-azure-cosmos-db/,3,3171,42838,30.78%,2430,748,853,1719,32.76940502470304,243,94,learn.wwl.az-204-develop-solutions-that-use-azure-cosmos-db,developer,azure;azure-cosmos-db,intermediate,jeffko,wwlpublish
Architect infrastructure operations in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,32388,376111,30.54%,1493,456,489,1719,34.5267357251657,9406,240,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate,jaboes,jboeshart
Optimize query and operation performance in Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/optimize-query-performance-azure-cosmos-db-sql-api/,3,166,1869,30.47%,128,39,47,1719,19.93714859437751,5,114,learn.wwl.optimize-query-performance-azure-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Microsoft Azure Data Fundamentals: Explore non-relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-non-relational-data/,3,9136,133908,30.40%,7072,2150,2298,1719,51.532111062463514,5695,144,learn.wwl.azure-data-fundamentals-explore-non-relational-data,administrator;business-user;data-engineer;student,azure,beginner,rcaper,wwlpublish
AI business school for retail,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-retail/,12,5027,51337,30.40%,352,107,112,1719,16.04389960877926,1422,571,learn.ai-business-school-retail,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Microsoft Azure AI Fundamentals: Explore natural language processing,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,4,7018,91665,30.15%,5510,1661,1810,1719,25.31790871093379,6613,133,learn.wwl.explore-natural-language-processing,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services;azure-language-understanding;azure-portal,beginner,gerryo,wwlpublish
Provision and manage Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,4,2152,36530,30.09%,1911,575,615,1719,31.464467162329615,596,185,learn.wwl.provision-manage-azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,intermediate,gmalc,wwlpublish
AZ-204: Implement user authentication and authorization,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-authentication-authorization/,4,2546,40276,30.08%,2091,629,705,1719,38.145555119141136,165,85,learn.wwl.az-204-implement-authentication-authorization,developer,azure-sdks;microsoft-identity-web,intermediate,jeffko,wwlpublish
Monitor and troubleshoot an Azure Cosmos DB SQL API solution,https://docs.microsoft.com/en-us/learn/paths/monitor-troubleshoot-azure-cosmos-db-sql-api-solution/,4,189,2881,30.00%,130,39,45,1719,25.345149911816577,3,195,learn.wwl.monitor-troubleshoot-azure-cosmos-db-sql-api-solution,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Microsoft Azure Data Fundamentals: Explore relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-relational-data/,3,11992,183616,29.98%,8649,2593,2763,1719,49.007017178118744,6729,87,learn.wwl.azure-data-fundamentals-explore-relational-data,administrator;business-user;data-engineer;student,azure,beginner,rcaper,wwlpublish
Identify guiding principles for responsible AI in government,https://docs.microsoft.com/en-us/learn/paths/responsible-ai-government-principles/,3,1891,11120,29.70%,202,60,60,1719,12.383315705975674,445,175,learn.responsible-ai-business-principles-government,functional-consultant;business-user,azure;dynamics-365;m365,intermediate,rawortma,RWortmanMorris
Integrate Azure Cosmos DB SQL API with Azure services,https://docs.microsoft.com/en-us/learn/paths/integrate-azure-cosmos-db-sql-api-azure-services/,3,180,2158,29.69%,128,38,47,1719,16.57296296296296,4,117,learn.wwl.integrate-azure-cosmos-db-sql-api-azure-services,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Plan and implement Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/plan-implement-azure-cosmos-db-sql-api/,3,260,3828,29.58%,213,63,69,1719,26.738589743589742,11,111,learn.wwl.plan-implement-azure-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft Identity and access management solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,6078,101614,29.28%,5130,1502,1634,1719,43.982634090161234,2019,88,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner,ceperezb,wwlpublish
Deploy and work with Loss Prevention for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-loss-prevention-fraud-protection/,3,194,1329,29.27%,41,12,10,1719,8.405154639175258,37,154,learn-dynamics.deploy-work-loss-prevention-fraud-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection;dynamics-commerce,intermediate,cstorega,cstorega
Identify principles and practices for responsible AI,https://docs.microsoft.com/en-us/learn/paths/responsible-ai-business-principles/,3,2072,12208,29.19%,459,134,140,1719,12.111156692406693,914,168,learn.responsible-ai-business-principles,functional-consultant;business-user,azure;dynamics-365;m365,intermediate,rawortma,RWortmanMorris
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft compliance solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,5,6782,117152,29.05%,3783,1099,1187,1719,35.18456699105475,1824,147,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,business-user;student,azure;m365,beginner,ceperezb,wwlpublish
Create computer vision solutions with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,5,1748,27951,28.98%,1180,342,365,1719,18.69882723112128,202,267,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services;azure-computer-vision;azure-custom-vision;azure-face;azure-video-indexer,intermediate,gmalc,wwlpublish
Manage user environments and apps for Azure Virtual Desktop,https://docs.microsoft.com/en-us/learn/paths/manage-user-environments-apps/,3,114,1653,28.89%,45,13,13,1719,26.302923976608188,6,211,learn.wwl.manage-user-environments-apps,administrator;solution-architect,azure;azure-virtual-desktop;azure-virtual-machines,intermediate,bradj,wwlpublish
