Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
Active Directory Domain Services,https://docs.microsoft.com/en-us/learn/paths/active-directory-domain-services/,5,"5,775","40,136",4.82%,"2,075",100,119,1757,23.88399423,"1,381",275,learn.wwl.active-directory-domain-services,administrator;security-engineer;solution-architect;technology-manager,windows-server,intermediate
Migrate ASP.NET Apps to Azure,https://docs.microsoft.com/en-us/learn/paths/migrate-dotnet-apps-azure/,6,"16,464","136,124",4.80%,562,27,27,1757,16.2377551,976,315,learn.azure.migrate-dotnet-apps-azure,developer;solution-architect;administrator,azure;azure-sql-database;azure-app-service;aspnet,beginner
Troubleshoot Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,8,"2,205","20,017",4.78%,"1,651",79,89,1757,24.95494331,529,314,learn.wwl.troubleshoot-microsoft-365-teams,support-engineer,m365;office-teams,advanced
Customize and add advanced features to Xamarin.Forms apps,https://docs.microsoft.com/en-us/learn/paths/customize-your-xamarin-forms-apps/,9,"1,338","9,314",4.75%,379,18,21,1757,20.35787245,"1,669",505,learn-xamarin.customize-your-xamarin-forms-apps,developer,xamarin;dotnet;vs,intermediate
Windows Server file servers and storage management,https://docs.microsoft.com/en-us/learn/paths/windows-server-file-servers-storage-management/,6,"1,845","11,120",4.75%,737,35,42,1757,12.34107498,716,295,learn.wwl.windows-server-file-servers-storage-management,administrator;security-engineer;solution-architect,windows-server,intermediate
Upgrade Dynamics AX 2012 to Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/upgrade-ax-2012-finance-operations/,6,396,"3,386",4.72%,233,11,13,1757,22.13619529,68,438,learn-dynamics.upgrade-ax-2012-finance-operations,solution-architect;functional-consultant;developer;administrator,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,intermediate
Get Started with Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/get-started-power-apps-portals/,5,"3,401","21,263",4.71%,"2,125",100,108,1757,16.55604724,"1,473",188,learn-bizapps.get-started-power-apps-portals,maker;functional-consultant;administrator,power-platform;power-apps,intermediate
Migrate SQL workloads to Azure,https://docs.microsoft.com/en-us/learn/paths/migrate-sql-workloads-azure/,6,"1,271","7,240",4.68%,534,25,26,1757,13.68360871,"1,774",225,learn.wwl.migrate-sql-workloads-to-azure,administrator;data-engineer;database-administrator;developer;solution-architect,azure-sql-database;azure-virtual-machines;sql-server,intermediate
Develop using Power Apps and Power Automate for Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/power-apps-power-automate-business-central/,5,516,"2,940",4.57%,197,9,12,1757,12.3994509,243,388,learn-dynamics.power-apps-power-automate-business-central,developer;functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate
Create machine learning models,https://docs.microsoft.com/en-us/learn/paths/create-machine-learn-models/,5,"14,127","111,917",4.54%,"10,589",481,541,1757,28.92292065,"6,937",318,learn.wwl.create-machine-learn-models,ai-engineer;data-scientist;developer;student,vs-code;azure,intermediate
Cloud storage,https://docs.microsoft.com/en-us/learn/paths/cmu-cloud-computing-cloud-storage/,3,"1,168","5,545",4.52%,641,29,33,1757,7.352768265,"1,317",312,learn.cmu-cloud-computing.cloud-storage,developer;student,azure,beginner;intermediate
Develop with Azure Digital Twins,https://docs.microsoft.com/en-us/learn/paths/develop-azure-digital-twins/,4,"1,478","14,986",4.50%,"1,089",49,57,1757,28.69144114,402,218,learn.azure.develop-azure-digital-twins,developer,azure;azure-iot;azure-time-series-insights;azure-iot-hub;azure-functions;azure-event-grid;azure-event-hubs;azure-digital-twins,intermediate;advanced
Predict rocket launch delays with machine learning,https://docs.microsoft.com/en-us/learn/paths/machine-learning-predict-launch-delay-nasa/,3,706,"3,503",4.31%,371,16,15,1757,9.337157696,682,108,learn.student-evangelism.machine-learning-predict-launch-delay-nasa,student;data-scientist,vs-code,beginner
Deploy applications with Azure DevOps,https://docs.microsoft.com/en-us/learn/paths/deploy-applications-with-azure-devops/,8,"6,521","45,862",4.26%,"2,768",118,126,1757,23.47538721,"5,338",437,learn.azdo.deploy-applications-with-azure-devops,devops-engineer;administrator;developer,azure;azure-devops,intermediate
AZ-400: Define and implement continuous integration,https://docs.microsoft.com/en-us/learn/paths/az-400-define-implement-continuous-integration/,11,"15,163","127,387",4.26%,"2,771",118,126,1757,28.81487942,"2,227",686,learn.az-400-define-implement-continuous-integration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops;azure-virtual-machines;azure-automation,beginner
Operate and maintain Azure Stack HCI,https://docs.microsoft.com/en-us/learn/paths/operate-maintain-azure-stack-hci/,4,389,"2,383",4.19%,215,9,11,1757,19.46649529,67,214,learn.wwl.operate-maintain-azure-stack-hci,devops-engineer;security-engineer;solution-architect;student;technology-manager,azure,intermediate
Solution Architect: Design Microsoft Power Platform solutions,https://docs.microsoft.com/en-us/learn/paths/solution-architect-data/,12,"2,634","25,011",4.12%,"1,553",64,70,1757,36.64491268,591,426,learn-bizapps.solution-architect-design,solution-architect,power-platform;dynamics-365;power-apps;power-automate;power-virtual-agents,advanced
Discover the role of Python in space exploration,https://docs.microsoft.com/en-us/learn/paths/introduction-python-space-exploration-nasa/,5,"2,346","15,078",4.06%,"1,158",47,54,1757,13.01160131,"1,989",173,learn.introduction-python-space-exploration-nasa,student;data-scientist,vs-code,beginner
Create surveys with Dynamics 365 Customer Voice,https://docs.microsoft.com/en-us/learn/paths/create-surveys/,6,"1,335","9,581",4.04%,570,23,23,1757,19.43273408,424,258,learn-dynamics.create-surveys,functional-consultant;business-user,dynamics-365;customer-voice,intermediate
Explore space with Python and Visual Studio Code; inspired by Netflix's Over the Moon,https://docs.microsoft.com/en-us/learn/paths/explore-space-using-python/,3,"1,092","6,494",4.00%,600,24,26,1757,14.78824786,"1,229",129,learn.explore-space-using-python,data-scientist;developer;student,azure-custom-vision;vs-code,beginner
Architect network infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,"21,771","283,185",3.95%,"11,657",461,502,1757,39.56801402,"15,393",564,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate
Take your first steps with Vue.js,https://docs.microsoft.com/en-us/learn/paths/vue-first-steps/,4,"1,217","7,053",3.83%,757,29,32,1757,16.48734593,408,110,learn.languages.vue-first-steps,developer;student,vs-code;azure-app-service-static,intermediate
Web development for beginners,https://docs.microsoft.com/en-us/learn/paths/web-development-101/,6,"4,224","33,940",3.78%,"2,986",113,128,1757,14.63283617,"1,171",109,learn.student-evangelism.web-development-101,student,azure,beginner
Cloud computing basics for developers,https://docs.microsoft.com/en-us/learn/paths/cmu-cloud-developer-basics/,6,"2,402","16,493",3.74%,"1,176",44,49,1757,19.37440328,"2,045",413,learn.cmu-cloud-computing.cmu-cloud-computing-basics,developer;student,azure,beginner;intermediate
AZ-400: Develop an instrumentation strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-instrumentation-strategy/,11,"24,364","240,053",3.69%,"6,422",237,255,1757,28.63131259,"2,944",497,learn.az-400-develop-instrumentation-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-portal;azure-resource-manager;azure-application-insights;azure-monitor;azure-event-grid;azure-sentinel;azure-security-center;azure-service-health;vs-app-center;azure-virtual-machines;azure-app-service;azure-container-instances;azure-functions;azure-kubernetes-service;azure-logic-apps,beginner
Implement a Windows Server hybrid cloud infrastructure,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-hybrid-cloud-infrastructure/,6,"2,301","13,645",3.65%,"1,096",40,55,1757,16.47451833,846,430,learn.wwl.implement-windows-server-hybrid-cloud-infrastructure,administrator;solution-architect;technology-manager,azure;azure-active-directory;azure-cloud-shell;azure-portal;azure-storage;azure-virtual-machines,intermediate
Create data-driven websites by using the Python framework Django,https://docs.microsoft.com/en-us/learn/paths/django-create-data-driven-websites/,6,"1,508","11,440",3.65%,823,30,38,1757,18.5714412,395,180,learn.django-create-data-driven-websites,developer;student,azure;vs-code;azure-app-service,intermediate
Start in tech as an intern,https://docs.microsoft.com/en-us/learn/paths/start-career-in-tech/,3,"2,040","9,082",3.60%,"1,693",61,71,1757,11.85119281,276,72,learn.start-career-in-tech,developer;student,azure;vs;vs-code,beginner
Working with Connected Field Service for Dynamics 365 and Azure IoT,https://docs.microsoft.com/en-us/learn/paths/working-with-connected-field-service-iot/,5,182,"1,158",3.53%,85,3,4,1757,9.060622711,504,373,learn-bizapps.connected-field-service,business-user;functional-consultant,dynamics-365;dynamics-field-service;azure;azure-iot-central,intermediate
Deploy and manage resources in Azure by using JSON ARM templates,https://docs.microsoft.com/en-us/learn/paths/deploy-manage-resource-manager-templates/,8,"9,859","75,278",3.52%,"1,592",56,58,1757,25.19981743,689,306,learn.deploy-manage-resource-manager-templates,developer;administrator;solution-architect,azure;azure-resource-manager,beginner
Microsoft Graph Fundamentals,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-fundamentals/,3,"1,852","8,166",3.48%,"1,378",48,56,1757,12.61074514,687,75,learn-m365.m365-msgraph-fundamentals,developer,m365;ms-graph,beginner
Deploy and manage resources in Azure by using Bicep,https://docs.microsoft.com/en-us/learn/paths/bicep-deploy/,8,"4,785","42,663",3.48%,"3,050",106,105,1757,33.15060606,378,301,learn.bicep-deploy-manage,developer;administrator;solution-architect,azure;azure-resource-manager,beginner
Introduction to developing with Microsoft Power Platform,https://docs.microsoft.com/en-us/learn/paths/intro-developing-power-platform/,3,"3,264","13,006",3.45%,"2,724",94,97,1757,13.27824244,"4,017",111,learn-dynamics.introduction-development,developer,dynamics-365;power-platform;power-apps,intermediate
Linux on Azure,https://docs.microsoft.com/en-us/learn/paths/azure-linux/,14,"142,299","1,796,219",3.42%,"5,028",172,206,1757,37.89099666,"2,439",577,learn.azure-linux,solution-architect;administrator;developer,azure,beginner
Windows Server Hyper-V and Virtualization,https://docs.microsoft.com/en-us/learn/paths/windows-server-hyper-v-virtualization/,6,"2,012","14,328",3.42%,"1,054",36,40,1757,19.56358516,907,311,learn.wwl.windows-server-hyper-v-virtualization,administrator;security-engineer;solution-architect,windows-server,intermediate
Build real world applications with Python,https://docs.microsoft.com/en-us/learn/paths/python-language/,3,"17,886","93,952",3.37%,"4,298",145,167,1757,13.45165399,"1,288",129,learn.languages.python-apps,developer;student,vs-code,beginner
Take your first steps with F#,https://docs.microsoft.com/en-us/learn/paths/fsharp-first-steps/,5,"2,462","17,346",3.35%,"1,791",60,79,1757,14.89649337,195,102,learn.languages.fsharp-first-steps,developer;student,dotnet,beginner
Implement certifications in academic programs,https://docs.microsoft.com/en-us/learn/paths/academic-program-certifications/,4,423,"1,567",3.23%,372,12,13,1757,3.87285264,42,81,learn.academic-program-certifications,student;developer;higher-ed-educator;school-leader,azure,beginner
Create serverless applications,https://docs.microsoft.com/en-us/learn/paths/create-serverless-applications/,11,"34,160","464,981",3.22%,"21,757",701,655,1757,45.22505513,"16,405",517,learn.create-serverless-applications,developer;student,azure;azure-functions;azure-portal;azure-cosmos-db;azure-storage;azure-cloud-shell,beginner;intermediate
Get started with the features in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/get-started-features-project-operations/,7,965,"8,065",3.11%,289,9,12,1757,23.76834197,101,715,learn-dynamics.get-started-features-project-operations,functional-consultant;business-user,dynamics-365;dynamics-project-operations;dynamics-finance;dynamics-finance-operations;dynamics-sales;dynamics-field-service,intermediate
Take your first steps with Python,https://docs.microsoft.com/en-us/learn/paths/python-first-steps/,10,"28,142","225,779",3.08%,"10,657",328,380,1757,18.63183616,"12,351",279,learn.languages.python-first-steps,developer;student,vs-code,beginner
Introduction to machine learning with Python and Azure Notebooks,https://docs.microsoft.com/en-us/learn/paths/intro-to-ml-with-python/,3,928,"3,265",3.00%,801,24,27,1757,8.973239943,"5,109",131,learn.data-ai.intro-to-ml-with-python,developer;data-scientist,azure;azure-portal,beginner
"Windows Server deployment, configuration, and administration",https://docs.microsoft.com/en-us/learn/paths/windows-server-deployment-configuration-administration/,5,"4,762","29,837",2.95%,"3,190",94,110,1757,17.64311214,"1,529",207,learn.wwl.windows-server-deployment-configuration-administration,administrator;solution-architect;technology-manager,windows-server,intermediate
Foundations of data science for machine learning,https://docs.microsoft.com/en-us/learn/paths/machine-learning-foundations-using-data-science/,14,"12,649","152,574",2.89%,"3,464",100,120,1757,49.44227475,259,763,learn.machinelearning.machine-learning-foundations-using-data-science,ai-engineer;data-scientist;developer;student,azure,beginner;intermediate
Introduction to Kubernetes on Azure,https://docs.microsoft.com/en-us/learn/paths/intro-to-kubernetes-on-azure/,6,"16,351","108,913",2.88%,"5,478",158,176,1757,26.38255866,"3,921",294,learn.intro-to-kubernetes-on-azure,administrator;developer;solution-architect;devops-engineer,azure;azure-kubernetes-service,beginner
Interface with Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/interface-with-business-central/,5,856,"7,280",2.85%,281,8,9,1757,22.36966511,217,259,learn-dynamics.interface-with-business-central,developer,dynamics-365;dynamics-business-central,intermediate
Build mixed reality digital twins with Azure Digital Twins and Unity,https://docs.microsoft.com/en-us/learn/paths/build-mixed-reality-azure-digital-twins-unity/,4,"1,024","7,511",2.84%,564,16,20,1757,16.82976888,224,239,learn.azure.build-mixed-reality-azure-digital-twins-unity,developer;business-owner;student;technology-manager,azure;azure-cloud-services;azure-cognitive-services;azure-digital-twins;azure-iot;azure-iot-hub;azure-signalr-service;azure-event-grid;azure-event-hubs;azure-functions;hololens;windows;windows-mixed-reality,beginner
Build JavaScript applications by using TypeScript,https://docs.microsoft.com/en-us/learn/paths/build-javascript-applications-typescript/,8,"3,659","26,346",2.82%,"1,310",37,46,1757,21.56495399,877,376,learn.build-javascript-applications-typescript,student;developer,vs-code,intermediate
