Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
,,,1,1,32000.00%,1,320,374,4173,0.466666667,"216,126",,,,,
<learning path title,https://docs.microsoft.com/en-us/learn/paths/integrate-azure-synapse-analytics-azure-data-ai-services/,2,442,"2,033",6.80%,250,17,19,4173,11.58668929,298,106,learn.wwl.integrate-azure-synapse-analytics-azure-data-ai-services,data-analyst;data-engineer;data-scientist,azure-machine-learning;power-bi;azure-synapse-analytics,intermediate
Accelerate cloud adoption with the Microsoft Cloud Adoption Framework for Azure,https://docs.microsoft.com/en-us/learn/paths/cloud-adoption-framework/,8,"1,299","9,204",5.28%,625,33,32,4173,14.05823711,259,582,learn.accelerate-cloud-adoption,administrator;developer;solution-architect;auditor;business-analyst;business-owner;data-engineer;database-administrator;developer;devops-engineer;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure,beginner
Accessibility fundamentals,https://docs.microsoft.com/en-us/learn/paths/accessibility-fundamentals/,4,"4,814","42,165",17.84%,"3,828",683,715,4173,13.54378549,"2,757",145,learn.accessibility-fundamentals,administrator;student,m365,beginner
Active Directory Domain Services,https://docs.microsoft.com/en-us/learn/paths/active-directory-domain-services/,5,"4,787","34,009",4.90%,"2,041",100,106,4173,23.00642713,"1,053",275,learn.wwl.active-directory-domain-services,administrator;security-engineer;solution-architect;technology-manager,windows-server,intermediate
Add logic to your applications with C#,https://docs.microsoft.com/en-us/learn/paths/csharp-logic/,5,"4,587","44,162",12.01%,"3,480",418,491,4173,21.92858077,"4,991",120,learn.languages.csharp-logic,developer,dotnet,beginner
Administer containers in Azure,https://docs.microsoft.com/en-us/learn/paths/administer-containers-in-azure/,7,"21,075","149,369",9.59%,"1,700",163,170,4173,20.97165836,"6,476",310,learn.administer-containers-in-azure,administrator,azure;azure-container-instances;azure-container-registry,beginner
Administer infrastructure resources in Azure,https://docs.microsoft.com/en-us/learn/paths/administer-infrastructure-resources-in-azure/,12,"51,657","486,037",8.96%,"1,820",163,103,4173,17.72582193,"9,565",665,learn.administer-infrastructure-resources-in-azure,administrator,azure;azure-virtual-machines;azure-storage;azure-portal;azure-monitor;azure-clis;azure-resource-manager;azure-automation,beginner
Administer Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/administer-portals/,4,"1,750","10,590",19.24%,811,156,167,4173,13.1173619,631,77,learn-bizapps.administer-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced
"Administer Power BI, Part 1 - Tenants, governance, collaboration",https://docs.microsoft.com/en-us/learn/paths/administer-power-bi-part-1/,5,844,"7,747",12.32%,406,50,56,4173,19.81319115,261,90,learn-bizapps.administer-power-bi-part-1,administrator,power-bi,intermediate
"Administer Power BI, Part 2 - Premium, Power BI embedded, automation",https://docs.microsoft.com/en-us/learn/paths/administer-power-bi-part-2/,4,717,"4,957",10.70%,299,32,36,4173,14.8060437,241,75,learn-bizapps.administer-power-bi-part-2,administrator,power-bi,intermediate
AI business school for education,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-education/,12,"5,108","52,214",17.03%,411,70,72,4173,14.6817639,"1,467",582,learn.ai-business-school-education,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for financial services,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-financial-services/,12,"5,196","52,449",12.06%,564,68,73,4173,14.4449737,"1,931",576,learn.ai-business-school-financial-services,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for government,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-government/,12,"5,110","50,969",19.23%,286,55,56,4173,14.06020548,"1,203",585,learn.ai-business-school-government,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for healthcare,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-healthcare/,12,"5,165","52,140",15.01%,373,56,59,4173,14.30730881,"1,495",571,learn.ai-business-school-healthcare,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for manufacturing,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-manufacturing/,12,"5,073","52,523",14.58%,391,57,62,4173,14.68634601,"1,452",572,learn.ai-business-school-manufacturing,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI business school for retail,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-retail/,12,"5,015","51,259",21.18%,255,54,56,4173,14.67133599,"1,333",571,learn.ai-business-school-retail,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate
AI edge engineer,https://docs.microsoft.com/en-us/learn/paths/ai-edge-engineer/,17,"5,037","37,452",2.88%,"1,491",43,39,4173,14.68680431,"2,502",1050,learn.ai-edge-engineer,ai-engineer;data-scientist,azure;azure-iot;azure-notebooks;azure-cloud-shell;azure-container-instances;azure-container-registry;azure-iot-edge;azure-iot-hub;azure-machine-learning;azure-resource-manager;azure-virtual-machines,beginner
