Order,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
0,https://docs.microsoft.com/en-us/learn/modules/secure-cognitive-services/,learn.wwl.secure-cognitive-services,/learn/modules/secure-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Secure Cognitive Services,6,"1,005","5,816",59.82%,789,472,514,5.0,211.5683333,12.63094527,42,4.866666667,30,,,azure-active-directory;azure-cognitive-services,administrator;ai-engineer;developer;security-engineer;solution-architect;student,advanced,9,2021
1,https://docs.microsoft.com/en-us/learn/modules/investigate-container-for-use-cognitive-services/,learn.wwl.investigate-container-for-use-with-cognitive-services,/learn/modules/investigate-container-for-use-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Deploy cognitive services in containers,6,660,"4,763",65.73%,607,399,443,,189.14972219999999,17.19542929,54,4.814814815,27,,,azure-cognitive-services;azure-container-instances,ai-engineer;developer;devops-engineer;solution-architect;student,intermediate,9,2021
2,https://docs.microsoft.com/en-us/learn/modules/create-manage-cognitive-services/,learn.wwl.create-manage-cognitive-services,/learn/modules/create-manage-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Create and consume Cognitive Services,8,"1,151","8,784",51.71%,"1,052",544,587,2.0,316.2738889,16.48690993,47,4.823529412,34,,,azure-cognitive-services,ai-engineer;developer;student,intermediate,9,2021
3,https://docs.microsoft.com/en-us/learn/modules/monitor-cognitive-services/,learn.wwl.monitor-cognitive-services,/learn/modules/monitor-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Monitor Cognitive Services,8,704,"6,051",66.98%,639,428,483,1.0,215.0027778,18.32410038,42,4.8571428569999995,21,,,azure-cognitive-services,administrator;ai-engineer;developer;student,intermediate,9,2021
4,https://docs.microsoft.com/en-us/learn/modules/translate-text-with-translator-service/,learn.wwl.translate-text-with-translator-service,/learn/modules/translate-text-with-translator-service/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,Translate text with the Translator service,8,694,"5,420",62.54%,614,384,422,,163.9641667,14.17557637,51,4.807692308,26,,,azure-cognitive-services,ai-engineer;developer,intermediate,9,2021
5,https://docs.microsoft.com/en-us/learn/modules/extract-insights-text-with-text-analytics-service/,learn.wwl.extract-insights-text-with-text-analytics-service,/learn/modules/extract-insights-text-with-text-analytics-service/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,Extract insights from text with the Text Analytics service,10,880,"7,680",53.85%,780,420,446,3.0,235.1322222,16.03174242,57,4.8,25,,,azure-cognitive-services,ai-engineer;developer,intermediate,9,2021
6,https://docs.microsoft.com/en-us/learn/modules/translate-speech-speech-service/,learn.wwl.translate-speech-speech-service,/learn/modules/translate-speech-speech-service/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,Translate speech with the speech service,7,"2,062","19,538",79.79%,"1,841","1,469","1,587",1.0,284.09138889999997,8.266480762999999,47,4.635338346,266,,,azure-cognitive-services,ai-engineer;developer;solution-architect;student,intermediate,9,2021
7,https://docs.microsoft.com/en-us/learn/modules/transcribe-speech-input-text/,learn.wwl.transcribe-speech-input-text,/learn/modules/transcribe-speech-input-text/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,Create speech-enabled apps with the Speech service,9,"3,113","32,157",59.25%,"2,746","1,627","1,741",38.0,728.1794444,14.034939499999998,58,4.737777778,225,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,intermediate,9,2021
8,https://docs.microsoft.com/en-us/learn/modules/prepare-to-develop-ai-solutions-azure/,learn.wwl.prepare-to-develop-ai-solutions-azure,/learn/modules/prepare-to-develop-ai-solutions-azure/,ai-102,https://docs.microsoft.com/en-us/learn/paths/prepare-for-ai-engineering/,Prepare to develop AI solutions on Azure,11,"2,122","19,268",37.34%,"2,038",761,780,1.0,767.3058333,21.69573516,31,4.73,100,,,azure,ai-engineer;developer,intermediate,9,2021
9,https://docs.microsoft.com/en-us/learn/modules/create-knowledge-store-azure-cognitive-search/,learn.wwl.create-knowledge-store-with-azure-cognitive-search,/learn/modules/create-knowledge-store-azure-cognitive-search/,ai-102,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,Create a knowledge store with Azure Cognitive Search,6,392,"2,231",51.16%,346,177,202,1.0,68.18083333,10.43584184,46,5.0,6,,,azure-cognitive-search,ai-engineer;developer;solution-architect,intermediate,9,2021
10,https://docs.microsoft.com/en-us/learn/modules/create-enrichment-pipeline-azure-cognitive-search/,learn.wwl.create-enrichment-pipeline-with-azure-cognitive-search,/learn/modules/create-enrichment-pipeline-azure-cognitive-search/,ai-102,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,Create a custom skill for Azure Cognitive Search,6,409,"2,501",54.62%,357,195,221,,67.29,9.871393643,46,5.0,7,,,azure-functions;vs-code;azure-cognitive-search,ai-engineer;developer;solution-architect,intermediate,9,2021
11,https://docs.microsoft.com/en-us/learn/modules/create-azure-cognitive-search-solution/,learn.wwl.create-azure-cognitive-search-solution,/learn/modules/create-azure-cognitive-search-solution/,ai-102,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,Create an Azure Cognitive Search solution,10,585,"5,226",39.70%,539,214,236,,287.2097222,29.45740741,63,4.714285714,7,,,azure-cognitive-search,ai-engineer;developer;solution-architect,intermediate,9,2021
12,https://docs.microsoft.com/en-us/learn/modules/work-form-recognizer/,learn.wwl.work-with-form-recognizer,/learn/modules/work-form-recognizer/,ai-102,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,Extract data from forms with Form Recognizer,11,604,"5,197",49.01%,506,248,297,,225.0613889,22.35709161,55,4.428571429,7,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,intermediate,9,2021
13,https://docs.microsoft.com/en-us/learn/modules/read-text-images-documents-with-computer-vision-service/,learn.wwl.read-text-images-documents-with-computer-vision-service,/learn/modules/read-text-images-documents-with-computer-vision-service/,ai-102,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,Read Text in Images and Documents with the Computer Vision Service,7,632,"4,099",47.10%,586,276,323,2.0,100.1802778,9.510785865,36,4.3,10,,,azure;azure-cognitive-services;azure-form-recognizer,ai-engineer;developer,intermediate,9,2021
14,https://docs.microsoft.com/en-us/learn/modules/use-language-understanding-speech/,learn.wwl.use-language-understanding-speech,/learn/modules/use-language-understanding-speech/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,Use Language Understanding with Speech,6,453,"2,730",61.70%,389,240,273,1.0,85.9075,11.37847682,45,4.933333333,15,,,azure-cognitive-services;azure-language-understanding,ai-engineer;developer,intermediate,9,2021
15,https://docs.microsoft.com/en-us/learn/modules/publish-use-language-understanding-app/,learn.wwl.publish-use-language-understanding-app,/learn/modules/publish-use-language-understanding-app/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,Publish and use a Language Understanding app,7,514,"3,542",58.77%,439,258,297,1.0,124.66416670000001,14.55223735,48,4.777777778,9,,,azure-cognitive-services;azure-language-understanding,ai-engineer;developer,intermediate,9,2021
16,https://docs.microsoft.com/en-us/learn/modules/create-language-understanding-app/,learn.wwl.create-language-understanding-app,/learn/modules/create-language-understanding-app/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,Create a Language Understanding app,10,754,"6,159",46.88%,640,300,325,,220.64944440000002,17.55831123,55,4.8571428569999995,14,,,azure-cognitive-services;azure-language-understanding,ai-engineer;developer,intermediate,9,2021
17,https://docs.microsoft.com/en-us/learn/modules/design-bot-conversation-flow/,learn.wwl.design-bot-conversation-flow,/learn/modules/design-bot-conversation-flow/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-conversational-ai-solutions/,Create a bot with the Bot Framework SDK,8,"1,088","7,249",35.02%,931,326,331,1.0,350.7566667,19.34319853,57,4.6315789469999995,19,,,azure;azure-bot-service;vs-code,ai-engineer;developer;solution-architect;student,intermediate,9,2021
18,https://docs.microsoft.com/en-us/learn/modules/create-bot-with-bot-framework-composer/,learn.wwl.create-bot-with-bot-framework-composer,/learn/modules/create-bot-with-bot-framework-composer/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-conversational-ai-solutions/,Create a Bot with the Bot Framework Composer,8,763,"5,345",44.59%,619,276,301,1.0,227.6825,17.9042595,67,4.789473684,19,,,azure-bot-service,ai-engineer;developer;solution-architect;student,intermediate,9,2021
19,https://docs.microsoft.com/en-us/learn/modules/detect-objects-images/,learn.wwl.detect-objects-images,/learn/modules/detect-objects-images/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,Detect objects in images,7,458,"2,866",58.21%,402,234,257,1.0,76.76805556,10.05695051,55,4.75,8,,,azure-cognitive-services;azure-custom-vision,ai-engineer;developer,intermediate,9,2021
20,https://docs.microsoft.com/en-us/learn/modules/detect-analyze-recognize-faces/,learn.wwl.detect-analyze-recognize-faces,/learn/modules/detect-analyze-recognize-faces/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,"Detect, analyze, and recognize faces",10,615,"4,616",49.38%,486,240,253,,116.16722220000001,11.33338753,68,4.8,15,,,azure-cognitive-services;azure-computer-vision;azure-face,ai-engineer;developer,intermediate,9,2021
21,https://docs.microsoft.com/en-us/learn/modules/classify-images/,learn.wwl.classify-images,/learn/modules/classify-images/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,Classify images,7,582,"3,316",55.03%,447,246,263,1.0,70.09388889,7.226174112000001,48,4.818181818,11,,,azure-cognitive-services;azure-custom-vision,ai-engineer;developer,intermediate,9,2021
22,https://docs.microsoft.com/en-us/learn/modules/analyze-video/,learn.wwl.analyze-video,/learn/modules/analyze-video/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,Analyze video,7,610,"4,205",54.96%,504,277,306,1.0,88.44527778,8.699535519,48,4.666666667,12,,,azure-cognitive-services;azure-video-indexer,ai-engineer;developer,intermediate,9,2021
23,https://docs.microsoft.com/en-us/learn/modules/analyze-images/,learn.wwl.analyze-images,/learn/modules/analyze-images/,ai-102,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,Analyze images,7,576,"3,817",53.47%,490,262,281,1.0,113.3161111,11.80376157,48,4.875,8,,,azure-cognitive-services;azure-computer-vision,ai-engineer;developer,intermediate,9,2021
24,https://docs.microsoft.com/en-us/learn/modules/build-qna-solution-qna-maker/,learn.wwl.build-qna-solution-qna-maker,/learn/modules/build-qna-solution-qna-maker/,ai-102,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,Build a QnA solution with QnA Maker,12,439,"5,222",59.15%,399,236,271,,146.69916669999998,20.05,36,4.916666667,12,,,azure-cognitive-services;azure-qna-maker,ai-engineer;developer,intermediate,9,2021
25,https://docs.microsoft.com/en-us/learn/modules/get-started-ai-fundamentals/,learn.wwl.get-started-ai-fundamentals,/learn/modules/get-started-ai-fundamentals/,ai-900,https://docs.microsoft.com/en-us/learn/paths/get-started-with-artificial-intelligence-on-azure/,Get started with AI on Azure,10,"30,748","345,609",46.46%,"26,915","12,506","12,719",36.0,7498.139722,14.63146817,34,4.728330206,"2,665",,,azure-bot-service;azure-cognitive-services;azure-machine-learning,ai-engineer;data-scientist;student,beginner,9,2021
26,https://docs.microsoft.com/en-us/learn/modules/translate-text-with-translation-service/,learn.wwl.translate-text-with-translation-service,/learn/modules/translate-text-with-translation-service/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,Translate text and speech,5,"7,057","48,732",81.76%,"6,731","5,503","6,311",49.0,525.9477778,4.471711303,29,4.7427536230000005,276,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
27,https://docs.microsoft.com/en-us/learn/modules/recognize-synthesize-speech/,learn.wwl.recognize-synthesize-speech,/learn/modules/recognize-synthesize-speech/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,Recognize and synthesize speech,5,"7,275","50,290",79.88%,"6,890","5,504","6,352",63.0,583.7275,4.814247423,29,4.726666667,300,,,azure;azure-cognitive-services;azure-sdks,ai-engineer;developer;solution-architect;student,intermediate,9,2021
28,https://docs.microsoft.com/en-us/learn/modules/create-language-model-with-language-understanding/,learn.wwl.create-language-model-with-luis,/learn/modules/create-language-model-with-language-understanding/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,Create a language model with Language Understanding,5,"7,662","52,729",78.94%,"7,007","5,531","6,303",12.0,736.6308333,5.7684481860000005,39,4.721052632,380,,,azure;azure-bot-service;azure-cognitive-services;azure-language-understanding;azure-sdks,ai-engineer;developer;solution-architect;student,intermediate,9,2021
29,https://docs.microsoft.com/en-us/learn/modules/analyze-text-with-text-analytics-service/,learn.wwl.analyze-text-with-text-analytics-service,/learn/modules/analyze-text-with-text-analytics-service/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,Analyze text with the Text Analytics service,5,"8,369","56,108",72.66%,"8,003","5,815","6,502",61.0,978.0547222000001,7.011982714,36,4.734824281,313,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
30,https://docs.microsoft.com/en-us/learn/modules/build-faq-chatbot-qna-maker-azure-bot-service/,learn.wwl.build-faq-chatbot-qna-maker-azure-bot-service,/learn/modules/build-faq-chatbot-qna-maker-azure-bot-service/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-conversational-ai/,Build a bot with QnA Maker and Azure Bot Service,5,"9,569","62,355",70.60%,"8,275","5,842","6,510",2.0,973.1608332999999,6.101959452000001,29,4.7457264960000005,468,,,azure-bot-service;azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
31,https://docs.microsoft.com/en-us/learn/modules/read-text-computer-vision/,learn.wwl.read-text-computer-vision,/learn/modules/read-text-computer-vision/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,Read text with the Computer Vision service,5,"7,350","51,874",79.99%,"7,047","5,637","6,509",47.0,603.2019444,4.924097506,24,4.7879858660000005,283,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
32,https://docs.microsoft.com/en-us/learn/modules/detect-objects-images-custom-vision/,learn.wwl.detect-objects-images-custom-vision,/learn/modules/detect-objects-images-custom-vision/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,Detect objects in images with the Custom Vision service,5,"7,377","52,595",82.20%,"7,024","5,774","6,596",67.0,628.38,5.110858072,39,4.707006369,314,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
33,https://docs.microsoft.com/en-us/learn/modules/detect-analyze-faces/,learn.wwl.detect-analyze-faces,/learn/modules/detect-analyze-faces/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,Detect and analyze faces with the Face service,5,"7,569","53,181",81.13%,"7,138","5,791","6,575",55.0,641.2405556,5.083159378,24,4.712871287,303,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
34,https://docs.microsoft.com/en-us/learn/modules/classify-images-custom-vision/,learn.wwl.classify-images-custom-vision,/learn/modules/classify-images-custom-vision/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,Classify images with the Custom Vision service,6,"13,106","75,156",50.17%,"12,341","6,191","6,738",66.0,1041.2352779999999,4.766833257,37,4.690217391,368,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
35,https://docs.microsoft.com/en-us/learn/modules/analyze-receipts-form-recognizer/,learn.wwl.analyze-receipts-form-recognizer,/learn/modules/analyze-receipts-form-recognizer/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,Analyze receipts with the Form Recognizer service,5,"7,209","51,683",82.55%,"6,854","5,658","6,512",6.0,481.05666669999994,4.003800805,24,4.701970443,406,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
36,https://docs.microsoft.com/en-us/learn/modules/analyze-images-computer-vision/,learn.wwl.analyze-images-computer-vision,/learn/modules/analyze-images-computer-vision/,ai-900,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,Analyze images with the Computer Vision service,5,"11,572","69,680",57.74%,"11,146","6,436","7,062",83.0,1334.746944,6.920568326000001,28,4.7255434780000005,368,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
37,https://docs.microsoft.com/en-us/learn/modules/use-automated-machine-learning/,learn.wwl.use-automated-machine-learning,/learn/modules/use-automated-machine-learning/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Use automated machine learning in Azure Machine Learning,9,"17,657","178,497",54.78%,"14,636","8,017","8,556",148.0,4985.531943999999,16.94126503,45,4.673139159,618,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
38,https://docs.microsoft.com/en-us/learn/modules/use-automated-machine-learning/,learn.wwl.use-automated-machine-learning,/learn/modules/use-automated-machine-learning/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Use automated machine learning in Azure Machine Learning,9,"17,657","178,497",54.78%,"14,636","8,017","8,556",148.0,4985.531943999999,16.94126503,45,4.673139159,618,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
39,https://docs.microsoft.com/en-us/learn/modules/create-regression-model-azure-machine-learning-designer/,learn.wwl.create-regression-model-azure-machine-learning-designer,/learn/modules/create-regression-model-azure-machine-learning-designer/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Create a Regression Model with Azure Machine Learning designer,10,"11,521","139,174",67.79%,"10,128","6,866","7,709",105.0,2720.4091670000003,14.16756792,55,4.67209776,491,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
40,https://docs.microsoft.com/en-us/learn/modules/create-regression-model-azure-machine-learning-designer/,learn.wwl.create-regression-model-azure-machine-learning-designer,/learn/modules/create-regression-model-azure-machine-learning-designer/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Create a Regression Model with Azure Machine Learning designer,10,"11,521","139,174",67.79%,"10,128","6,866","7,709",105.0,2720.4091670000003,14.16756792,55,4.67209776,491,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
41,https://docs.microsoft.com/en-us/learn/modules/create-clustering-model-azure-machine-learning-designer/,learn.wwl.create-clustering-model-azure-machine-learning-designer,/learn/modules/create-clustering-model-azure-machine-learning-designer/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Create a Clustering Model with Azure Machine Learning designer,10,"9,607","118,099",74.03%,"8,632","6,390","7,315",13.0,1361.351944,8.502250095,49,4.690515807,601,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
42,https://docs.microsoft.com/en-us/learn/modules/create-clustering-model-azure-machine-learning-designer/,learn.wwl.create-clustering-model-azure-machine-learning-designer,/learn/modules/create-clustering-model-azure-machine-learning-designer/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Create a Clustering Model with Azure Machine Learning designer,10,"9,607","118,099",74.03%,"8,632","6,390","7,315",13.0,1361.351944,8.502250095,49,4.690515807,601,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
43,https://docs.microsoft.com/en-us/learn/modules/create-classification-model-azure-machine-learning-designer/,learn.wwl.create-classification-model-with-azure-machine-learning-designer,/learn/modules/create-classification-model-azure-machine-learning-designer/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Create a classification model with Azure Machine Learning designer,10,"9,539","121,607",74.68%,"8,658","6,466","7,361",78.0,1754.597778,11.036363,60,4.728855721,402,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
44,https://docs.microsoft.com/en-us/learn/modules/create-classification-model-azure-machine-learning-designer/,learn.wwl.create-classification-model-with-azure-machine-learning-designer,/learn/modules/create-classification-model-azure-machine-learning-designer/,ai-900,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,Create a classification model with Azure Machine Learning designer,10,"9,539","121,607",74.68%,"8,658","6,466","7,361",78.0,1754.597778,11.036363,60,4.728855721,402,,,azure-machine-learning,ai-engineer;data-scientist,beginner,9,2021
45,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
46,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
47,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
48,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
49,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
50,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
51,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-104,https://docs.microsoft.com/en-us/learn/paths/az-104-monitor-backup-resources/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
52,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/,learn.incident-response-with-alerting-on-azure,/learn/modules/incident-response-with-alerting-on-azure/,az-400,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-sre-strategy/,Improve incident response with alerting on Azure,9,"4,241","40,032",74.14%,"3,681","2,729","3,081",15.0,1413.286944,19.99462784,53,4.825,160,"1,275","1,101",azure;azure-monitor,solution-architect;security-engineer;administrator,beginner,9,2021
53,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,learn.azure.protect-against-security-threats-azure,/learn/modules/protect-against-security-threats-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,Protect against security threats on Azure,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179.0,15278.731940000001,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner,9,2021
54,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,learn.azure.protect-against-security-threats-azure,/learn/modules/protect-against-security-threats-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/manage-identity-and-access/,Protect against security threats on Azure,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179.0,15278.731940000001,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner,9,2021
55,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,learn.azure.protect-against-security-threats-azure,/learn/modules/protect-against-security-threats-azure/,az-103,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,Protect against security threats on Azure,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179.0,15278.731940000001,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner,9,2021
56,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,learn.azure.protect-against-security-threats-azure,/learn/modules/protect-against-security-threats-azure/,az-203,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-data/,Protect against security threats on Azure,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179.0,15278.731940000001,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner,9,2021
57,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,learn.azure.protect-against-security-threats-azure,/learn/modules/protect-against-security-threats-azure/,az-203,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-data/,Protect against security threats on Azure,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179.0,15278.731940000001,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner,9,2021
58,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,learn.azure.protect-against-security-threats-azure,/learn/modules/protect-against-security-threats-azure/,az-400,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-security-compliance-plan/,Protect against security threats on Azure,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179.0,15278.731940000001,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner,9,2021
