Order,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
771,https://docs.microsoft.com/en-us/learn/modules/deploy-batch-inference-pipelines-with-azure-machine-learning/,learn.wwl.deploy-batch-inference-pipelines-with-azure-machine-learning,/learn/modules/deploy-batch-inference-pipelines-with-azure-machine-learning/,dp-100,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,Deploy batch inference pipelines with Azure Machine Learning,6,972,"5,996",52.22%,766,400,465,2.0,190.4661111,11.75716735,44,4.9375,16,,,azure;azure-machine-learning;azure-portal,data-scientist,intermediate,9,2021
772,https://docs.microsoft.com/en-us/learn/modules/create-pipelines-in-aml/,learn.wwl.create-pipelines-in-aml,/learn/modules/create-pipelines-in-aml/,dp-100,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,Orchestrate machine learning with pipelines,10,"1,100","10,555",51.32%,910,467,527,1.0,380.5088889,20.7550303,55,4.9130434780000005,23,,,azure;azure-machine-learning,data-scientist,beginner,9,2021
773,https://docs.microsoft.com/en-us/learn/modules/train-local-model-with-azure-mls/,learn.data-ai.train-local-model-with-azure-mls,/learn/modules/train-local-model-with-azure-mls/,dp-100,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,Train a machine learning model with Azure Machine Learning,7,"1,449","10,339",48.95%,"1,148",562,611,2.0,348.0772222,14.413135500000001,40,4.65625,32,,,azure;azure-machine-learning,data-scientist;student,beginner,9,2021
774,https://docs.microsoft.com/en-us/learn/modules/register-and-deploy-model-with-amls/,learn.data-ai.register-and-deploy-model-with-amls,/learn/modules/register-and-deploy-model-with-amls/,dp-100,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,Deploy real-time machine learning services with Azure Machine Learning,7,"1,076","7,151",50.06%,857,429,472,1.0,323.9816667,18.06589219,40,4.875,16,,,azure;azure-machine-learning,data-scientist,beginner,9,2021
775,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-machine-learning-service/,learn.data-ai.intro-to-azure-machine-learning-service,/learn/modules/intro-to-azure-machine-learning-service/,dp-100,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,Introduction to the Azure Machine Learning SDK,8,"2,469","18,231",32.75%,"2,128",697,685,2.0,945.6813889,22.98132172,60,4.648648649,37,,,azure;azure-machine-learning,data-scientist;student,beginner,9,2021
776,https://docs.microsoft.com/en-us/learn/modules/automate-model-selection-with-azure-automl/,learn.data-ai.automate-model-selection-with-azure-automl,/learn/modules/automate-model-selection-with-azure-automl/,dp-100,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,Automate machine learning model selection with Azure Machine Learning,7,729,"4,999",63.11%,599,378,435,1.0,155.81805559999998,12.82453132,25,4.941176471,17,,,azure;azure-machine-learning,data-scientist;student,beginner,9,2021
777,https://docs.microsoft.com/en-us/learn/modules/azure-machine-learning-security/,learn.azure.azure-machine-learning-security,/learn/modules/azure-machine-learning-security/,dp-100,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,Explore security concepts in Azure Machine Learning,8,96,445,41.51%,53,22,30,1.0,25.12027778,15.70017361,36,,,,,azure;azure-machine-learning,ai-engineer;data-scientist;developer;solution-architect;student,beginner,9,2021
778,https://docs.microsoft.com/en-us/learn/modules/query-azure-cosmos-db-with-sql-serverless-for-azure-synapse-analytics/,learn.wwl.query-azure-cosmos-db-with-sql-serverless-for-azure-synapse-analytics,/learn/modules/query-azure-cosmos-db-with-sql-serverless-for-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,Query Azure Cosmos DB with SQL Serverless for Azure Synapse Analytics,7,495,"3,810",72.07%,426,307,341,,114.90194440000002,13.92750842,21,4.666666667,6,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
779,https://docs.microsoft.com/en-us/learn/modules/query-azure-cosmos-db-with-apache-spark-for-azure-synapse-analytics/,learn.wwl.query-azure-cosmos-db-with-apache-spark-for-azure-synapse-analytics,/learn/modules/query-azure-cosmos-db-with-apache-spark-for-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,Query Azure Cosmos DB with Apache Spark for Azure Synapse Analytics,10,460,"4,338",71.61%,398,285,315,,158.9280556,20.72974638,30,4.25,4,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
780,https://docs.microsoft.com/en-us/learn/modules/design-hybrid-transactional-analytical-processing-using-azure-synapse-analytics/,learn.wwl.design-hybrid-transactional-analytical-processing-using-azure-synapse-analytics,/learn/modules/design-hybrid-transactional-analytical-processing-using-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,Design hybrid transactional and analytical processing using Azure Synapse Analytics,10,640,"5,607",59.63%,540,322,347,,266.7402778,25.00690104,50,5.0,8,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
781,https://docs.microsoft.com/en-us/learn/modules/configure-azure-synapse-link-with-azure-cosmos-db/,learn.wwl.configure-azure-synapse-link-with-azure-cosmos-db,/learn/modules/configure-azure-synapse-link-with-azure-cosmos-db/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,Configure Azure Synapse Link with Azure Cosmos DB,8,490,"4,084",71.05%,418,297,331,1.0,132.5441667,16.22989796,45,3.8,5,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
782,https://docs.microsoft.com/en-us/learn/modules/use-data-loading-best-practices-azure-synapse-analytics/,learn.wwl.use-data-loading-best-practices-azure-synapse-analytics,/learn/modules/use-data-loading-best-practices-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Use data loading best practices in Azure Synapse Analytics,11,"1,033","10,647",62.84%,880,553,607,1.0,498.0269444,28.92702485,54,4.9,10,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
783,https://docs.microsoft.com/en-us/learn/modules/understand-data-warehouse-developer-features-of-azure-synapse-analytics/,learn.wwl.understand-data-warehouse-developer-features-of-azure-synapse-analytics,/learn/modules/understand-data-warehouse-developer-features-of-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Understand data warehouse developer features of Azure Synapse Analytics,11,661,"6,885",70.47%,569,401,442,,275.9333333,25.04689864,57,5.0,10,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
784,https://docs.microsoft.com/en-us/learn/modules/secure-data-warehouse-azure-synapse-analytics/,learn.wwl.secure-data-warehouse-azure-synapse-analytics,/learn/modules/secure-data-warehouse-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,Secure a data warehouse in Azure Synapse Analytics,10,746,"6,507",59.80%,612,366,410,,345.7325,27.80690349,55,4.75,12,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
