,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
1640,https://docs.microsoft.com/en-us/learn/modules/configure-auto-attendants-call-queues/,learn.wwl.configure-auto-attendants-call-queues,/learn/modules/configure-auto-attendants-call-queues/,ms-720,https://docs.microsoft.com/en-us/learn/paths/plan-configure-teams-voice/,Configure auto attendants and call queues,12,"3,678","63,111",88.79%,"3,507","1,553","1,953",3,322.0377778,10.52984559,55,4.846153846,91,,,m365;office-teams,administrator,advanced,11,2021
1641,https://docs.microsoft.com/en-us/learn/modules/monitor-troubleshoot-teams-phone-system/,learn.wwl.monitor-troubleshoot-teams-phone-system,/learn/modules/monitor-troubleshoot-teams-phone-system/,ms-720,https://docs.microsoft.com/en-us/learn/paths/manage-teams-voice/,Monitor and troubleshoot Teams Phone,9,"3,133","43,360",90.28%,"2,976","1,338","1,703",1,267.4963889,10.27514938,64,4.815217391,92,,,m365;office-teams,administrator,advanced,11,2021
1642,https://docs.microsoft.com/en-us/learn/modules/configure-manage-voice-users/,learn.wwl.configure-manage-voice-users,/learn/modules/configure-manage-voice-users/,ms-720,https://docs.microsoft.com/en-us/learn/paths/manage-teams-voice/,Configure and manage voice users,6,"3,185","30,291",89.90%,"3,058","1,371","1,736",4,170.5980556,6.437662474,35,4.771929825,57,,,m365;office-teams,administrator,advanced,11,2021
1643,https://docs.microsoft.com/en-us/learn/modules/configure-deploy-manage-teams-devices/,learn.wwl.configure-deploy-manage-teams-devices,/learn/modules/configure-deploy-manage-teams-devices/,ms-720,https://docs.microsoft.com/en-us/learn/paths/manage-teams-voice/,"Configure, deploy, and manage Teams devices",9,"3,131","43,891",89.97%,"3,016","1,354","1,721",5,268.1247222,10.30588298,58,4.818181818,55,,,m365;office-teams,administrator,advanced,11,2021
1644,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-microsoft-teams-voice-issues/,learn.wwl.troubleshoot-microsoft-teams-voice-issues,/learn/modules/troubleshoot-microsoft-teams-voice-issues/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Troubleshoot Microsoft Teams Voice Issues,6,"9,957","70,439",89.38%,"9,306","4,159","4,816",8,619.7761111,7.477692875,39,4.876237624,202,,,m365;office-teams,support-engineer,advanced,11,2021
1645,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-microsoft-teams-meetings-live-events-messaging/,learn.wwl.troubleshoot-microsoft-teams-meetings-live-events-messaging,/learn/modules/troubleshoot-microsoft-teams-meetings-live-events-messaging/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Troubleshoot Microsoft Teams meetings live events and messaging,10,"9,201","104,091",92.34%,"8,818","4,061","4,757",8,632.8516667,8.272570806,47,4.852040816,196,,,m365;office-teams,support-engineer,advanced,11,2021
1646,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-issues-signing-into-microsoft-teams/,learn.wwl.troubleshoot-issues-signing-into-microsoft-teams,/learn/modules/troubleshoot-issues-signing-into-microsoft-teams/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Troubleshoot issues signing into Microsoft Teams,9,"8,913","92,805",93.37%,"8,633","4,027","4,713",12,512.0644444,6.902688534,52,4.803030303,198,,,m365;office-teams,support-engineer,advanced,11,2021
1647,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-file-sharing/,learn.wwl.troubleshoot-file-sharing,/learn/modules/troubleshoot-file-sharing/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Troubleshoot File Sharing,6,"9,190","69,289",92.90%,"8,847","4,106","4,787",4,379.1975,4.955750381,24,4.873376623,308,,,m365;office-teams,support-engineer,advanced,11,2021
1648,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-federation-issues/,learn.wwl.troubleshoot-federation-issues,/learn/modules/troubleshoot-federation-issues/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Troubleshoot Federation Issues,5,"8,844","56,547",94.86%,"8,580","4,064","4,730",6,342.3633333,4.648517764,21,4.854368932,206,,,m365;office-teams,support-engineer,advanced,11,2021
1649,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-apps-channels/,learn.wwl.troubleshoot-apps-channels,/learn/modules/troubleshoot-apps-channels/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Troubleshoot Apps and Channels,5,"8,737","56,282",95.39%,"8,512","4,053","4,726",8,353.3863889,4.858657959,25,4.869791667,192,,,m365;office-teams,support-engineer,advanced,11,2021
1650,https://docs.microsoft.com/en-us/learn/modules/introduce-troubleshoot-microsoft-teams/,learn.wwl.introduce-troubleshooting-microsoft-teams,/learn/modules/introduce-troubleshoot-microsoft-teams/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Introduce troubleshooting Microsoft Teams,9,"10,789","106,167",82.35%,"10,338","4,247","4,877",11,762.9697222,8.502634349,43,4.866666667,225,,,m365;office-teams,support-engineer,advanced,11,2021
1651,https://docs.microsoft.com/en-us/learn/modules/configure-troubleshoot-microsoft-teams-clients-services/,learn.wwl.configure-troubleshoot-microsoft-teams-clients-services,/learn/modules/configure-troubleshoot-microsoft-teams-clients-services/,ms-740,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,Configure and troubleshoot Microsoft Teams clients and services,10,"9,054","102,845",92.55%,"8,716","4,025","4,726",8,627.3486111,8.329479236,63,4.884210526,190,,,m365;office-365,support-engineer,advanced,11,2021
1652,https://docs.microsoft.com/en-us/learn/modules/reduce-risk-simplify-discovery-audit-process/,learn.wwl.reduce-risk-simplify-discovery-audit-process,/learn/modules/reduce-risk-simplify-discovery-audit-process/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,Reduce risk and simplify the discovery and audit process,10,"4,959","55,140",82.47%,"4,473","1,830","1,970",3,619.1216667,15.0150768,37,4.841530055,183,,,m365;office-365,business-owner;business-user,beginner,11,2021
