13,learn.wwl.explore-fundamentals-of-decision-support,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-decision-support/,1,ai-900,Microsoft Azure AI Fundamentals: Explore decision support,1.0,2145.0,14599.0,40.89%,2008.0,821.0,894.0,1727,14.128958818958822,403,38.0,learn.wwl.explore-fundamentals-of-decision-support,ai-engineer;student,azure-anomaly-detector,beginner,1,2022
14,learn.wwl.explore-conversational-ai,https://docs.microsoft.com/en-us/learn/paths/explore-conversational-ai/,1,ai-900,Microsoft Azure AI Fundamentals: Explore conversational AI,1.0,4565.0,24128.0,40.34%,3562.0,1437.0,1614.0,1727,10.61055494706097,3239,29.0,learn.wwl.explore-conversational-ai,ai-engineer;data-scientist;developer;solution-architect;student,azure-bot-service;azure-cognitive-services,beginner,1,2022
15,learn.wwl.explore-computer-vision-microsoft-azure,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,6,ai-900,Microsoft Azure AI Fundamentals: Explore computer vision,6.0,9766.0,143264.0,21.79%,7638.0,1664.0,1759.0,1727,28.096277902928534,7143,179.0,learn.wwl.explore-computer-vision-microsoft-azure,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,beginner,1,2022
16,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,4,ai-900,Microsoft Azure AI Fundamentals: Explore visual tools for machine learning,4.0,17462.0,264521.0,14.17%,13390.0,1897.0,2145.0,1727,34.5076881227809,11705,209.0,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,ai-engineer;data-scientist,azure;azure-machine-learning,beginner,1,2022
17,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,4,dp-100,Microsoft Azure AI Fundamentals: Explore visual tools for machine learning,4.0,17462.0,264521.0,14.17%,13390.0,1897.0,2145.0,1727,34.5076881227809,11705,209.0,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,ai-engineer;data-scientist,azure;azure-machine-learning,beginner,1,2022
18,learn.security.manage-security-operations,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,8,az-103,Manage security operations in Azure,8.0,38166.0,359387.0,23.87%,1462.0,349.0,366.0,1727,25.96739157015843,8618,360.0,learn.security.manage-security-operations,administrator;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate,1,2022
19,learn.security.manage-identity-and-access,https://docs.microsoft.com/en-us/learn/paths/manage-identity-and-access/,9,az-103,Manage identity and access in Azure Active Directory,9.0,52697.0,467213.0,10.69%,5540.0,592.0,634.0,1727,23.946826511313105,18904,317.0,learn.security.manage-identity-and-access,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-active-directory,beginner;intermediate,1,2022
20,learn.security.implement-resource-mgmt-security,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,az-103,Implement resource management security in Azure,6.0,47992.0,622477.0,49.33%,1271.0,627.0,657.0,1727,38.9910502444852,9986,207.0,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate,1,2022
21,learn.manage-resources-in-azure,https://docs.microsoft.com/en-us/learn/paths/manage-resources-in-azure/,6,az-103,Manage resources in Azure,6.0,44503.0,464203.0,10.28%,4554.0,468.0,488.0,1727,28.27693638631104,14404,271.0,learn.manage-resources-in-azure,developer;solution-architect;administrator,azure;azure-clis;azure-portal;azure-cost-management,beginner,1,2022
22,learn.manage-resources-in-azure,https://docs.microsoft.com/en-us/learn/paths/manage-resources-in-azure/,6,az-203,Manage resources in Azure,6.0,44503.0,464203.0,10.28%,4554.0,468.0,488.0,1727,28.27693638631104,14404,271.0,learn.manage-resources-in-azure,developer;solution-architect;administrator,azure;azure-clis;azure-portal;azure-cost-management,beginner,1,2022
23,learn.architect-storage-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,8,az-103,Architect storage infrastructure in Azure,8.0,25220.0,375914.0,17.69%,2301.0,407.0,432.0,1727,35.2145618556701,9934,306.0,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate,1,2022
24,learn.architect-storage-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,8,az-300,Architect storage infrastructure in Azure,8.0,25220.0,375914.0,17.69%,2301.0,407.0,432.0,1727,35.2145618556701,9934,306.0,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate,1,2022
25,learn.architect-storage-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,8,az-301,Architect storage infrastructure in Azure,8.0,25220.0,375914.0,17.69%,2301.0,407.0,432.0,1727,35.2145618556701,9934,306.0,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate,1,2022
26,learn.architect-storage-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,8,az-303,Architect storage infrastructure in Azure,8.0,25220.0,375914.0,17.69%,2301.0,407.0,432.0,1727,35.2145618556701,9934,306.0,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate,1,2022
27,learn.architect-storage-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-storage-infrastructure/,8,az-304,Architect storage infrastructure in Azure,8.0,25220.0,375914.0,17.69%,2301.0,407.0,432.0,1727,35.2145618556701,9934,306.0,learn.architect-storage-infrastructure,solution-architect,azure;azure-storage,intermediate,1,2022
28,learn.architect-network-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,az-103,Architect network infrastructure in Azure,12.0,15562.0,200832.0,4.72%,6397.0,302.0,259.0,1727,40.34042004026903,15918,566.0,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate,1,2022
29,learn.architect-network-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,az-300,Architect network infrastructure in Azure,12.0,15562.0,200832.0,4.72%,6397.0,302.0,259.0,1727,40.34042004026903,15918,566.0,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate,1,2022
30,learn.architect-network-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,az-301,Architect network infrastructure in Azure,12.0,15562.0,200832.0,4.72%,6397.0,302.0,259.0,1727,40.34042004026903,15918,566.0,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate,1,2022
31,learn.architect-network-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,az-303,Architect network infrastructure in Azure,12.0,15562.0,200832.0,4.72%,6397.0,302.0,259.0,1727,40.34042004026903,15918,566.0,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate,1,2022
32,learn.architect-network-infrastructure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,az-304,Architect network infrastructure in Azure,12.0,15562.0,200832.0,4.72%,6397.0,302.0,259.0,1727,40.34042004026903,15918,566.0,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate,1,2022
33,learn.architect-migration-bcdr,https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,az-103,"Architect migration, business continuity, and disaster recovery in Azure",10.0,13281.0,109071.0,13.66%,1376.0,188.0,191.0,1727,22.98547925608011,7904,440.0,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate,1,2022
34,learn.architect-migration-bcdr,https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,az-300,"Architect migration, business continuity, and disaster recovery in Azure",10.0,13281.0,109071.0,13.66%,1376.0,188.0,191.0,1727,22.98547925608011,7904,440.0,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate,1,2022
35,learn.architect-migration-bcdr,https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,az-301,"Architect migration, business continuity, and disaster recovery in Azure",10.0,13281.0,109071.0,13.66%,1376.0,188.0,191.0,1727,22.98547925608011,7904,440.0,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate,1,2022
