,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
83,learn.architect-modern-apps,https://docs.microsoft.com/en-us/learn/paths/architect-modern-apps/,7,az-304,Architect modern applications in Azure,7,"36,466","383,626",16.07%,"1,997",321,324,2180,17.06939295,"7,491",321,learn.architect-modern-apps,solution-architect,azure;azure-kubernetes-service;azure-container-instances;azure-app-service;azure-cache-redis,intermediate,11,2021
84,learn.architect-messaging-serverless,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,az-300,Architect message brokering and serverless applications in Azure,8,"20,657","509,420",14.71%,"1,645",242,271,2180,47.83539075,"5,727",376,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate,11,2021
85,learn.architect-messaging-serverless,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,az-301,Architect message brokering and serverless applications in Azure,8,"20,657","509,420",14.71%,"1,645",242,271,2180,47.83539075,"5,727",376,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate,11,2021
86,learn.architect-messaging-serverless,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,az-303,Architect message brokering and serverless applications in Azure,8,"20,657","509,420",14.71%,"1,645",242,271,2180,47.83539075,"5,727",376,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate,11,2021
87,learn.architect-messaging-serverless,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,az-304,Architect message brokering and serverless applications in Azure,8,"20,657","509,420",14.71%,"1,645",242,271,2180,47.83539075,"5,727",376,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate,11,2021
88,learn.architect-data-platform,https://docs.microsoft.com/en-us/learn/paths/architect-data-platform/,8,az-300,Architect a data platform in Azure,8,"43,483","450,494",8.52%,"2,595",221,226,2180,27.22463951,"8,639",390,learn.architect-data-platform,solution-architect,azure;azure-sql-database;azure-synapse-analytics;azure-cosmos-db,intermediate,11,2021
89,learn.architect-data-platform,https://docs.microsoft.com/en-us/learn/paths/architect-data-platform/,8,az-301,Architect a data platform in Azure,8,"43,483","450,494",8.52%,"2,595",221,226,2180,27.22463951,"8,639",390,learn.architect-data-platform,solution-architect,azure;azure-sql-database;azure-synapse-analytics;azure-cosmos-db,intermediate,11,2021
90,learn.architect-data-platform,https://docs.microsoft.com/en-us/learn/paths/architect-data-platform/,8,az-303,Architect a data platform in Azure,8,"43,483","450,494",8.52%,"2,595",221,226,2180,27.22463951,"8,639",390,learn.architect-data-platform,solution-architect,azure;azure-sql-database;azure-synapse-analytics;azure-cosmos-db,intermediate,11,2021
91,learn.architect-data-platform,https://docs.microsoft.com/en-us/learn/paths/architect-data-platform/,8,az-304,Architect a data platform in Azure,8,"43,483","450,494",8.52%,"2,595",221,226,2180,27.22463951,"8,639",390,learn.architect-data-platform,solution-architect,azure;azure-sql-database;azure-synapse-analytics;azure-cosmos-db,intermediate,11,2021
92,learn.architect-api-integration,https://docs.microsoft.com/en-us/learn/paths/architect-api-integration/,5,az-300,Architect API integration in Azure,5,"11,613","107,696",21.29%,"1,945",414,438,2180,19.04934843,"6,356",224,learn.architect-api-integration,solution-architect,azure;azure-api-management,intermediate,11,2021
